コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
2884	ヨシムラ・フード・ホールディングス	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	645.0						配当未取得		16.76	1.24	154.0	1097.0	570.0	Consumer Defensive	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	57484.6	2.73	-1.08	20.35	2.5	-3768.0	38.48		7.22	
288A	ラクサス・テクノロジーズ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	94.0						配当未取得		24.87	0.8	24.3	224.0	87.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2275.9	8.13	-11.14	70.71	0.33	-106.5	3.78		67.93	
2892	日本食品化工	スタンダード（内国株式）	3050	食料品	1	食品	-	-	4120.0	3.64	150.0	3.63	150.0	3.64	配当あり	いいえ	17.27	0.66	197.6	4250.0	3230.0	Consumer Defensive			OK	通常掲載可	OK	62993.0	1.99	0.47	59.58	0.27	4056.0	238.59	62.87	3.99	0
2894	石井食品	スタンダード（内国株式）	3050	食料品	1	食品	-	-	330.0	1.21	4.0	1.23	4.0	1.21	配当あり	いいえ		1.44	54.9	391.0	310.0	Consumer Defensive			OK	通常掲載可	OK	10869.7	2.46	3.6	50.3	0.52	-560.7	-4.47		-3.23	0
2897	日清食品ホールディングス	プライム（内国株式）	3050	食料品	1	食品	4	TOPIX Mid400	2790.0	2.51	70.0	2.48	70.0	2.51	配当あり	いいえ	17.87	1.55	8008.9	3354.0	2527.0	Consumer Defensive			OK	通常掲載可	OK	776594.0	7.87	5.96	56.05	0.24	-14412.0	156.14	44.83	9.2	0
2901	ウェルディッシュ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	194.0	2.06	4.0	2.04	4.0	2.06	配当あり	いいえ	8.91	0.93	55.5	736.0	161.0	Healthcare			OK	通常掲載可	OK	1974.4	10.16	-2.04	58.5	0.48	-167.7	21.78	18.37	10.44	0
2903	シノブフーズ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1480.0	2.3	34.0	2.3	34.0	2.3	配当あり	いいえ	9.9	1.07	158.8	2119.0	1325.0	Consumer Defensive			OK	通常掲載可	OK	61974.0	3.77	7.5	53.4	0.28	1571.0	149.57	22.73	11.22	2
2904	一正蒲鉾	スタンダード（内国株式）	3050	食料品	1	食品	-	-	761.0	1.84	14.0	1.84	14.0	1.84	配当あり	いいえ	34.72	0.91	139.5	789.0	738.0	Consumer Defensive			OK	通常掲載可	OK	34579.1	2.58	0.27	48.76	0.67	-958.6	21.92	63.87	2.9	1
2907	あじかん	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1492.0	3.89	58.0	3.9	58.0	3.89	配当あり	いいえ	10.21	0.62	111.7	1523.0	1187.0	Consumer Defensive			OK	通常掲載可	OK	51045.4	3.85	1.6	64.65	0.19	2347.7	146.12	39.69	6.23	3
2908	フジッコ	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	1496.0	3.07	46.0	3.03	46.0	3.07	配当あり	いいえ	29.84	0.61	426.0	1687.0	1455.0	Consumer Defensive			OK	通常掲載可	OK	55534.0	2.64	-2.7	86.93		-1161.0	50.13	91.76	2.07	0
