コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
9414	日本ＢＳ放送	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	917.0	3.27	30.0	3.3	30.0	3.27	配当あり	いいえ	14.38	0.67	163.5	1169.0	886.0	Communication Services			OK	通常掲載可	OK	11812.7	16.36	-3.5	90.81	0.0	1798.5	63.79	47.03	11.43	0
9416	ビジョン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1001.0	5.79	58.0	5.9	58.0	5.79	配当あり	いいえ	10.88	2.36	488.0	1343.0	949.0	Communication Services			OK	通常掲載可	OK	39012.4	16.57	9.8	70.54	0.09	1654.7	92.01	63.04	22.58	1
9417	スマートバリュー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	326.0	3.07	10.0	3.05	10.0	3.07	配当あり	いいえ	7.25	2.31	32.4	531.0	283.0	Technology			OK	通常掲載可	OK	3814.7	-8.09	-1.51	41.85	0.55	-693.2	44.94	22.25	13.71	1
9418	Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1682.0	1.01	17.0	1.01	17.0	1.01	配当あり	いいえ	16.1	2.88	3033.9	2312.0	1504.0	Industrials			OK	通常掲載可	OK	390408.0	8.2	19.48	37.56	0.72	3733.0	104.47	16.27	18.16	6
9419	ワイヤレスゲート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	285.0						配当未取得		11.04	1.86	31.0	354.0	232.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8348.6	2.05	-1.35	36.19	0.59	164.5	25.82		16.85	0
9421	エヌジェイホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	501.0						配当未取得		43.95	1.65	26.5	692.0	495.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	9698.1	1.06	-4.28	40.07	0.7	661.1	11.4		4.56	0
9423	フォーバル・リアルストレート	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	103.0	2.91	3.0	2.94	3.0	2.91	配当あり	いいえ	14.76	3.35	25.0	150.0	99.0	Real Estate			OK	通常掲載可	OK	3139.8	4.03	2.4	48.53		56.7	6.98	42.98	22.7	4
9424	日本通信	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	109.0						配当未取得		23.8	3.94	181.8	177.0	104.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	11633.8	9.75	25.92	38.52	1.24	-711.5	4.58		15.32	
9425	ＲｅＹｕｕ　Ｊａｐａｎ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	261.0						配当未取得			1.11	17.8	1413.0	149.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6259.2	-2.62	32.27	60.34	0.47	-128.7	-18.61		2.53	
9428	クロップス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1282.0	2.5	32.0	2.5	32.0	2.5	配当あり	いいえ	13.09	0.91	121.2	1764.0	1132.0	Communication Services			OK	通常掲載可	OK	67497.0	5.34	9.63	32.67	0.26	2919.0	97.94	32.67	10.33	0
