コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
9960	東テク	プライム（内国株式）	6050	卸売業	13	商社・卸売	6	TOPIX Small 1	4145.0	4.15	172.0	4.15	172.0	4.15	配当あり	いいえ	12.99	2.31	1699.7	4590.0	2684.0	Technology			OK	通常掲載可	OK	170013.0	10.02	9.01	63.99	0.09	3282.0	319.17	53.89	19.47	4
9962	ミスミグループ本社	プライム（内国株式）	6050	卸売業	13	商社・卸売	4	TOPIX Mid400	3981.0	1.33	52.98	1.33	52.98	1.33	配当あり	いいえ	26.81	2.77	10538.2	4038.0	1861.0	Industrials			OK	通常掲載可	OK	441383.0	10.79	9.8	81.97	0.02	52190.0	148.49	35.68	11.06	2
9969	ショクブン	スタンダード（内国株式）	6100	小売業	14	小売	-	-	229.0	1.09	2.5	1.09	2.5	1.09	配当あり	いいえ		1.46	35.1	266.0	221.0	Consumer Cyclical			OK	通常掲載可	OK	6008.3	0.48	-0.81	53.26	0.57	-93.8	-2.12		3.15	0
9972	アルテック	スタンダード（内国株式）	6050	卸売業	13	商社・卸売	-	-	259.0	2.7	7.0	2.7	7.0	2.7	配当あり	いいえ		0.41	35.7	319.0	212.0	Industrials			OK	通常掲載可	OK	17551.6	17.97	-3.74	56.42	0.45	115.7	-188.42		-20.36	0
9973	ＫＯＺＯホールディングス	スタンダード（内国株式）	6100	小売業	14	小売	-	-	20.0						配当未取得			10.6	58.9	47.0	19.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	19441.3	-1.52	7.35	6.6	2.32	-847.1	-2.54		-212.67	
9974	ベルク	プライム（内国株式）	6100	小売業	14	小売	6	TOPIX Small 1	6380.0	2.07	132.0	2.07	132.0	2.07	配当あり	いいえ	10.68	1.1	1329.0	8200.0	5970.0	Consumer Defensive			OK	通常掲載可	OK	423431.0	4.23	9.19	54.47	0.36	-2516.0	597.17	22.1	11.0	16
9976	セキチュー	スタンダード（内国株式）	6100	小売業	14	小売	-	-	1028.0	2.92	30.0	2.92	30.0	2.92	配当あり	いいえ	14.2	0.52	55.8	1450.0	969.0	Consumer Cyclical			OK	通常掲載可	OK	31867.2	1.94	1.23	50.56	0.33	435.3	72.37	41.45	-0.04	1
9978	文教堂グループホールディングス	スタンダード（内国株式）	6100	小売業	14	小売	-	-	45.0						配当未取得			1.7	19.7	75.0	43.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	14456.4	-0.61	-3.14	12.09	3.46	-61.6	-4.09		-14.5	
9979	大庄	スタンダード（内国株式）	6100	小売業	14	小売	7	TOPIX Small 2	1072.0	1.31	14.0	1.31	14.0	1.31	配当あり	いいえ	27.03	1.96	225.0	1263.0	1011.0	Consumer Cyclical			OK	通常掲載可	OK	52556.0	2.29	3.89	38.22	0.78	1278.0	39.66	35.3	7.41	0
9980	ＭＲＫホールディングス	スタンダード（内国株式）	6100	小売業	14	小売	-	-	93.0	1.08	1.0	1.08	1.0	1.08	配当あり	いいえ	9.69	0.59	85.7	182.0	85.0	Consumer Cyclical			OK	通常掲載可	OK	21230.9	2.73	0.37	77.71	0.03	1015.5	9.6	10.42	6.21	0
9982	タキヒヨー	スタンダード（内国株式）	6050	卸売業	13	商社・卸売	-	-	2647.0	1.89	50.0	1.89	50.0	1.89	配当あり	いいえ	14.35	0.69	223.3	3075.0	1531.0	Consumer Cyclical			OK	通常掲載可	OK	63970.0	3.05	5.5	63.99	0.16	2164.0	184.5	27.1	5.14	2
9983	ファーストリテイリング	プライム（内国株式）	6100	小売業	14	小売	1	TOPIX Core30	82710.0	0.77	640.0	0.77	640.0	0.77	配当あり	いいえ	53.19	9.64	253787.1	86060.0	43270.0	Consumer Cyclical			OK	通常掲載可	OK	3400539.0	16.54	9.56	58.9	0.23	401830.0	1554.95	41.16	20.62	4
9984	ソフトバンクグループ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	1	TOPIX Core30	6000.0	0.18	11.0	0.18	11.0	0.18	配当あり	いいえ	6.88	1.94	341935.4	9074.0	2551.25	Communication Services			OK	通常掲載可	OK	7243752.0	10.07	7.21	25.68	1.64	-650593.0	872.4	1.26	32.72	0
9986	蔵王産業	スタンダード（内国株式）	6050	卸売業	13	商社・卸売	-	-	2463.0	4.06	100.0	4.07	100.0	4.06	配当あり	いいえ	18.62	1.19	133.9	2850.0	2390.0	Industrials			OK	通常掲載可	OK	8757.5	11.61	3.64	85.95	0.0	1072.4	132.26	75.61	7.36	0
9987	スズケン	プライム（内国株式）	6050	卸売業	13	商社・卸売	4	TOPIX Mid400	4864.0	1.23	60.0	1.23	60.0	1.23	配当あり	いいえ	8.92	0.79	3289.9	6668.0	4810.0	Healthcare			OK	通常掲載可	OK	2486647.0	1.46	3.61	35.98		15718.0	545.43	11.0	9.26	3
9989	サンドラッグ	プライム（内国株式）	6100	小売業	14	小売	4	TOPIX Mid400	3735.0	3.53	132.0	3.53	132.0	3.53	配当あり	いいえ	13.91	1.53	4369.3	4883.0	3526.0	Healthcare			OK	通常掲載可	OK	842512.0	5.56	5.08	60.15	0.17	12161.0	268.55	49.15	11.3	19
9990	サックスバー　ホールディングス	プライム（内国株式）	6100	小売業	14	小売	7	TOPIX Small 2	742.0	4.72	35.0	4.72	35.0	4.72	配当あり	いいえ	11.3	0.7	215.6	852.0	705.0	Consumer Cyclical			OK	通常掲載可	OK	51270.5	6.17	-1.95	74.05	0.06	545.6	65.67	53.3	6.31	0
9991	ジェコス	プライム（内国株式）	6050	卸売業	13	商社・卸売	7	TOPIX Small 2	1547.0	4.46	69.0	4.46	69.0	4.46	配当あり	いいえ	8.9	0.73	520.5	1948.0	1185.0	Industrials			OK	通常掲載可	OK	115680.0	6.93	3.7	58.17	0.04	7909.0	173.88	39.68	8.4	3
9993	ヤマザワ	スタンダード（内国株式）	6100	小売業	14	小売	-	-	1183.0	2.28	27.0	2.28	27.0	2.28	配当あり	いいえ	9.18	0.45	121.5	1220.0	1130.0	Consumer Defensive			OK	通常掲載可	OK	105405.0	1.09	2.78	51.47	0.36	4883.0	128.83	20.96	5.23	0
9994	やまや	スタンダード（内国株式）	6100	小売業	14	小売	-	-	2014.0	3.57	72.0	3.57	72.0	3.57	配当あり	いいえ	10.6	0.59	218.3	2845.0	2001.0	Consumer Defensive			OK	通常掲載可	OK	159119.0	2.24	-0.65	57.1	0.15	2011.0	189.92	37.91	6.64	2
9996	サトー商会	スタンダード（内国株式）	6050	卸売業	13	商社・卸売	-	-	1957.0	2.45	48.0	2.45	48.0	2.45	配当あり	いいえ	13.04	0.6	163.2	2479.0	1890.0	Consumer Defensive			OK	通常掲載可	OK	50813.8	3.09	3.41	73.71	0.03	529.1	150.1	31.98	4.68	3
9997	ベルーナ	プライム（内国株式）	6100	小売業	14	小売	6	TOPIX Small 1	941.0	4.14	39.0	4.14	39.0	4.14	配当あり	いいえ	7.89	0.6	905.0	1076.0	823.0	Consumer Cyclical			OK	通常掲載可	OK	218098.0	7.56	3.43	44.49	0.99	-15022.0	119.22	32.71	7.83	8
