コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
7981	タカラスタンダード	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	3095.0	4.01	124.0	4.01	124.0	4.01	配当あり	いいえ	13.35	1.0	1957.0	3265.0	2398.0	Consumer Cyclical			OK	通常掲載可	OK	243380.0	6.42	3.68	70.24	0.03	12896.0	231.82	53.49	7.71	2
7983	ミロク	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1048.0	0.95	10.0	0.95	10.0	0.95	配当あり	いいえ		0.27	30.8	1580.0	1031.0	Industrials			OK	通常掲載可	OK	12518.3	-0.2	14.65	49.15	0.67	-1328.5	-851.4		-20.32	0
7984	コクヨ	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	4	TOPIX Mid400	827.1	2.96	24.5	2.96	24.5	2.96	配当あり	いいえ	17.12	1.38	3512.6	975.0	766.4	Industrials			OK	通常掲載可	OK	359876.0	7.29	6.21	70.89	0.01	3099.0	48.3	50.72	8.27	5
7985	ネポン	スタンダード（内国株式）	3550	金属製品	3	建設・資材	-	-	723.0	1.24	9.0	1.06	9.0	1.24	配当あり	いいえ		0.28	6.9	2179.0	713.0	Industrials			OK	通常掲載可	OK	7277.5	0.53	-6.39	38.73	0.83	37.8	-353.61		1.55	0
7986	日本アイ・エス・ケイ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1881.0	1.59	30.0	1.59	30.0	1.59	配当あり	いいえ	6.93	0.61	28.8	2069.0	1613.0	Basic Materials			OK	通常掲載可	OK	6064.1	9.83	2.76	70.43		351.4	271.43	11.05	10.22	0
7987	ナカバヤシ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	7	TOPIX Small 2	563.0	3.91	22.0	3.91	22.0	3.91	配当あり	いいえ	7.96	0.5	152.7	643.0	510.0	Industrials			OK	通常掲載可	OK	61598.0	4.68	-1.86	56.92	0.34	2635.0	70.77	31.09	4.77	0
7988	ニフコ	プライム（内国株式）	3200	化学	4	素材・化学	4	TOPIX Mid400	5046.0	1.66	84.0	1.66	84.0	1.66	配当あり	いいえ	13.97	1.59	4699.1	5562.0	3352.0	Consumer Cyclical			OK	通常掲載可	OK	352650.0	13.63	-0.11	75.32	0.09	47163.0	361.29	23.25	12.16	5
7989	立川ブラインド工業	プライム（内国株式）	3550	金属製品	3	建設・資材	7	TOPIX Small 2	2540.0	5.51	140.0	5.51	140.0	5.51	配当あり	いいえ	15.75	0.9	510.6	2674.0	1658.0	Consumer Cyclical			OK	通常掲載可	OK	42623.4	10.35	2.94	83.2	0.0	3506.2	161.29	86.8	5.88	8
7990	グローブライド	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	2361.0	4.24	100.0	4.24	100.0	4.24	配当あり	いいえ	9.83	0.8	503.9	2657.0	2027.0	Consumer Cyclical			OK	通常掲載可	OK	126956.0	5.12	2.4	54.06	0.47	5177.0	240.11	41.65	8.58	6
7991	マミヤ・オーピー	スタンダード（内国株式）	3600	機械	8	機械	-	-	1039.0	4.81	50.0	4.81	50.0	4.81	配当あり	いいえ	6.27	0.41	107.3	1975.0	1011.0	Industrials			OK	通常掲載可	OK	20892.8	9.02	-38.02	65.38	0.35	-4174.3	165.82	30.15	6.68	2
