コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
4719	アルファシステムズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	3315.0	4.22	140.0	4.22	140.0	4.22	配当あり	いいえ	12.41	1.03	465.4	4240.0	3055.0	Technology			OK	通常掲載可	OK	40722.5	12.14	5.82	85.15		2129.0	267.19	52.4	8.45	2
471A	ＮＳグループ	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	7	TOPIX Small 2	1515.0	5.02	76.0	5.02	76.0	5.02	配当あり	いいえ	13.33	2.72	737.6	1799.0	1274.0	Industrials			OK	通常掲載可	OK	29826.0	33.1	13.2	37.93	0.93	7815.0	113.63	66.88	20.41	
4720	城南進学研究社	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	235.0	2.13	5.0	2.13	5.0	2.13	配当あり	いいえ	385.25	1.36	18.9	363.0	224.0	Consumer Defensive			OK	通常掲載可	OK	5624.0	-4.1	-3.89	27.46	0.87	-197.9	0.61	819.67	0.28	0
4722	フューチャー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1677.0	2.86	48.0	2.86	48.0	2.86	配当あり	いいえ	12.69	2.35	1487.1	2448.0	1429.0	Technology			OK	通常掲載可	OK	75993.0	21.29	8.75	64.37	0.24	6632.0	132.15	36.32	20.3	13
4725	ＣＡＣ　Ｈｏｌｄｉｎｇｓ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1774.0	5.64	100.0	5.64	100.0	5.64	配当あり	いいえ	9.28	0.89	306.7	2233.0	1731.0	Technology			OK	通常掲載可	OK	50588.0	5.1	-2.83	65.58	0.08	1115.0	191.24	52.29	11.02	3
4728	トーセ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	644.0	3.88	25.0	3.88	25.0	3.88	配当あり	いいえ	12.25	0.77	48.8	713.0	612.0	Communication Services			OK	通常掲載可	OK	6636.3	10.4	43.78	78.13		257.5	52.55	47.57	6.44	0
472A	ミラティブ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	450.0						配当未取得		9.62	2.02	76.2	758.0	378.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	7188.2	4.86	32.18	67.66	0.18	-1135.6	46.8		21.0	
4732	ユー・エス・エス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	4	TOPIX Mid400	1927.0	2.85	55.0	2.85	55.0	2.85	配当あり	いいえ	21.79	4.31	8749.4	1948.5	1590.5	Consumer Cyclical			OK	通常掲載可	OK	104021.0	52.11	6.57	76.38	0.01	33887.0	88.45	62.18	20.03	2
4733	オービックビジネスコンサルタント	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	6452.0	2.01	130.0	2.01	130.0	2.01	配当あり	いいえ	26.74	2.86	4850.4	9379.0	5557.0	Technology			OK	通常掲載可	OK	51400.6	45.88	9.4	76.71		15816.2	241.3	53.87	11.04	2
4735	京進	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	325.0	2.4	7.81	2.4	7.81	2.4	配当あり	いいえ	27.92	0.64	25.0	390.0	279.0	Consumer Defensive			OK	通常掲載可	OK	26455.7	1.92	1.36	17.7	2.53	1025.5	11.64	67.1	2.29	0
