コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
7981	タカラスタンダード	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	3050.0	4.07	124.0	4.0	124.0	4.07	配当あり	いいえ	13.15	0.98	1928.5	3265.0	2380.0	Consumer Cyclical			OK	通常掲載可	OK	243380.0	6.42	3.68	70.24	0.03	12896.0	228.14	54.35	7.71	2
7983	ミロク	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1055.0	0.95	10.0	0.94	10.0	0.95	配当あり	いいえ		0.27	31.0	1580.0	1031.0	Industrials			OK	通常掲載可	OK	12518.3	-0.2	14.65	49.15	0.67	-1328.5	-851.36		-20.32	0
7984	コクヨ	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	4	TOPIX Mid400	799.4	3.06	24.5	3.08	24.5	3.06	配当あり	いいえ	16.5	1.34	3395.0	975.0	766.4	Industrials			OK	通常掲載可	OK	359876.0	7.29	6.21	70.89	0.01	3099.0	48.44	50.58	8.27	5
7985	ネポン	スタンダード（内国株式）	3550	金属製品	3	建設・資材	-	-	715.0	1.26	9.0	1.06	9.0	1.26	配当あり	いいえ		0.28	6.8	2179.0	715.0	Industrials			OK	通常掲載可	OK	7277.5	0.53	-6.39	38.73	0.83	37.8	-353.61		1.55	0
7986	日本アイ・エス・ケイ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1851.0	1.62	30.0	1.62	30.0	1.62	配当あり	いいえ	6.78	0.6	28.4	2069.0	1613.0	Basic Materials			OK	通常掲載可	OK	6064.1	9.83	2.76	70.43		351.4	273.02	10.99	10.22	0
7987	ナカバヤシ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	7	TOPIX Small 2	563.0	3.91	22.0	3.91	22.0	3.91	配当あり	いいえ	7.94	0.5	152.7	643.0	510.0	Industrials			OK	通常掲載可	OK	61598.0	4.68	-1.86	56.92	0.34	2635.0	70.88	31.04	4.77	0
7988	ニフコ	プライム（内国株式）	3200	化学	4	素材・化学	4	TOPIX Mid400	4929.0	1.7	84.0	1.7	84.0	1.7	配当あり	いいえ	13.37	1.55	4590.2	5562.0	3352.0	Consumer Cyclical			OK	通常掲載可	OK	352650.0	13.63	-0.11	75.32	0.09	47163.0	368.69	22.78	12.16	5
7989	立川ブラインド工業	プライム（内国株式）	3550	金属製品	3	建設・資材	7	TOPIX Small 2	2471.0	5.67	140.0	5.66	140.0	5.67	配当あり	いいえ	15.36	0.88	496.7	2674.0	1610.0	Consumer Cyclical			OK	通常掲載可	OK	42623.4	10.35	2.94	83.2	0.0	3506.2	160.86	87.03	5.88	8
7990	グローブライド	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	2318.0	4.31	100.0	4.31	100.0	4.31	配当あり	いいえ	9.72	0.78	494.7	2657.0	2027.0	Consumer Cyclical			OK	通常掲載可	OK	126956.0	5.12	2.4	54.06	0.47	5177.0	238.52	41.93	8.58	6
7991	マミヤ・オーピー	スタンダード（内国株式）	3600	機械	8	機械	-	-	1036.0	4.83	50.0	4.82	50.0	4.83	配当あり	いいえ	6.26	0.41	107.0	1975.0	1011.0	Industrials			OK	通常掲載可	OK	20892.8	9.02	-38.02	65.38	0.35	-4174.3	165.45	30.22	6.68	2
