コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
3900	クラウドワークス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	590.0						配当未取得			1.4	93.4	1147.0	546.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	22657.4	7.76	32.39	42.03	0.59	1738.3	-29.8		-5.91	
3901	マークラインズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1310.0	3.97	52.0	3.97	52.0	3.97	配当あり	いいえ	11.27	2.66	167.0	2227.0	1212.0	Communication Services			OK	通常掲載可	OK	5570.4	37.62	0.15	74.19		1729.2	116.2	44.75	23.47	11
3903	ｇｕｍｉ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	241.0						配当未取得		8.61	0.61	122.9	693.0	222.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8942.7	4.15	-25.89	71.04	0.24	-2541.4	28.0		6.29	0
3904	カヤック	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	406.0	0.96	3.9	0.96	3.9	0.96	配当あり	いいえ	9.52	1.06	62.6	606.0	374.0	Communication Services			OK	通常掲載可	OK	20094.7	5.33	20.13	42.77	0.56	352.6	42.63	9.15	7.91	0
3905	データセクション	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3160.0						配当未取得		34.96	4.84	1008.9	6140.0	1270.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	33605.0	10.55	1042.0	67.77	0.03	-10020.2	90.38		25.74	
3907	シリコンスタジオ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	899.0	1.11	10.0	1.11	10.0	1.11	配当あり	いいえ	11.98	1.42	24.7	2190.0	568.0	Communication Services			OK	通常掲載可	OK	4303.0	3.49	15.02	66.2	0.18	276.0	75.07	13.32	4.98	0
3908	コラボス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	324.0	1.85	6.0	1.85	6.0	1.85	配当あり	いいえ	14.92	1.1	15.1	670.0	274.0	Technology			OK	通常掲載可	OK	1699.0	4.37	-10.9	81.87	0.12	121.0	21.71	27.64	7.6	
3909	ショーケース	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	194.0						配当未取得		6.25	0.99	16.6	450.0	181.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6211.4	-2.67	9.29	22.83	2.33	-902.3	31.02		15.84	2
3910	エムケイシステム	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	280.0	2.86	8.0	2.86	8.0	2.86	配当あり	いいえ	5.92	1.68	15.2	346.0	260.0	Technology			OK	通常掲載可	OK	3256.1	7.62	-1.04	39.63	0.93	541.5	47.29	16.92	32.34	0
3911	Ａｉｍｉｎｇ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	201.0						配当未取得		8.63	1.33	93.8	313.0	156.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15826.2	13.14	-7.38	74.7	0.01	4513.5	23.28		14.8	0
3912	モバイルファクトリー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1080.0	4.72	51.0	4.72	51.0	4.72	配当あり	いいえ	15.97	3.23	70.1	1298.0	912.0	Communication Services			OK	通常掲載可	OK	3427.3	32.72	3.31	77.49		864.5	67.61	75.43	19.07	2
3913	ＧｒｅｅｎＢｅｅ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	928.0						配当未取得		10.6	1.77	18.7	1548.0	850.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	961.9	17.16	19.27	82.92	0.07	256.9	87.51		17.6	
3914	ＪＩＧ－ＳＡＷ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2424.0						配当未取得		38.31	4.51	159.4	4290.0	2208.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3625.5	15.16	4.39	63.63	0.21	241.3	63.27		14.33	
3915	テラスカイ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	2279.0	0.75	17.0	0.75	17.0	0.75	配当あり	いいえ	18.73	2.34	294.2	3715.0	1494.0	Technology			OK	通常掲載可	OK	28056.8	5.56	13.54	56.58	0.02	879.2	121.7	13.97	12.5	
3916	デジタル・インフォメーション・テクノロジー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	870.0	4.37	38.0	4.37	38.0	4.37	配当あり	いいえ	11.78	2.98	256.3	1415.0	791.0	Technology			OK	通常掲載可	OK	24159.0	12.48	21.47	71.62	0.0	2369.2	73.86	51.45	26.54	2
3917	アイリッジ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	418.0						配当未取得		5.13	1.08	32.7	727.0	393.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	7084.1	1.6	5.6	53.6	0.47	221.4	81.43		-4.87	
3918	ＰＣＩホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1218.0	6.24	76.0	6.24	76.0	6.24	配当あり	いいえ	10.68	1.24	120.8	1638.0	1007.0	Technology			OK	通常掲載可	OK	26835.9	5.81	6.98	60.91	0.03	1075.9	114.0	66.67	11.55	0
3920	アイビーシー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	983.0	2.24	22.0	2.24	22.0	2.24	配当あり	いいえ	14.14	2.46	54.6	1151.0	769.0	Technology			OK	通常掲載可	OK	2404.5	23.5	14.99	60.79	0.35	600.7	69.5	31.65	8.84	3
3921	ネオジャパン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1600.0	3.38	54.0	3.38	54.0	3.38	配当あり	いいえ	12.39	2.96	224.3	2119.0	1437.0	Technology			OK	通常掲載可	OK	8230.2	30.35	13.31	69.9	0.0	1860.9	129.12	41.82	12.35	4
3922	ＰＲ　ＴＩＭＥＳ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	2417.0	0.7	16.8	0.7	16.8	0.7	配当あり	いいえ	13.83	3.52	326.9	3340.0	1971.0	Communication Services			OK	通常掲載可	OK	9546.3	37.95	19.28	80.06	0.0	3382.2	174.75	9.61	29.64	
3923	ラクス	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	1025.0	0.78	8.0	0.78	8.0	0.78	配当あり	いいえ	27.78	13.94	3629.6	1395.0	721.9	Technology			OK	通常掲載可	OK	60286.0	28.77	23.27	71.17	0.0	12342.0	36.9	21.68	55.38	9
3925	ダブルスタンダード	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1213.0	5.77	70.0	5.77	70.0	5.77	配当あり	いいえ	14.79	2.45	163.9	1955.0	1140.0	Technology			OK	通常掲載可	OK	8000.6	32.58	11.94	84.81		1752.2	82.0	85.37	16.96	4
3926	オープンドア	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	321.0						配当未取得			2.86	99.6	525.0	225.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2453.7	-1.84	2.02	85.55		-60.9	-36.47		-28.93	
3927	フーバーブレイン	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	932.0	1.72	16.0	1.72	16.0	1.72	配当あり	いいえ	16.45	2.31	49.8	1280.0	696.0	Technology			OK	通常掲載可	OK	5641.4	3.61	29.0	27.35	0.43	214.8	56.67	28.23	16.72	
3928	マイネット	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	229.0						配当未取得		8.55	1.42	19.6	347.0	211.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	7478.3	5.01	-15.46	32.44	1.41	476.4	26.79		0.53	0
3929	ソーシャルワイヤー	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	279.0						配当未取得		14.73	1.84	32.7	375.0	245.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3513.2	6.47	20.92	51.16	0.47	-75.6	18.94		12.96	0
3930	はてな	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1150.0						配当未取得		24.75	1.63	34.5	1485.0	823.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3309.4	2.06	5.05	87.98		-2.0	46.46		-28.25	
3931	バリューゴルフ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1975.0	1.27	25.0	1.27	25.0	1.27	配当あり	いいえ		3.43	35.7	2247.0	1401.0	Communication Services			OK	通常掲載可	OK	4426.7	1.2	7.25	33.7	1.31	-497.2	-4.35		0.28	0
3932	アカツキ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	3085.0	3.89	120.0	3.89	120.0	3.89	配当あり	いいえ	7.87	0.98	371.2	3390.0	2480.0	Communication Services			OK	通常掲載可	OK	25856.0	28.79	9.32	72.78	0.26	2101.0	392.1	30.6	13.01	1
3933	チエル	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	483.0	4.76	23.0	4.76	23.0	4.76	配当あり	いいえ	5.49	1.07	36.1	792.0	423.0	Technology			OK	通常掲載可	OK	6896.8	9.83	49.23	29.19	0.86	-411.2	88.0	26.14	19.48	4
3934	ベネフィットジャパン	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2300.0	4.22	97.0	4.22	97.0	4.22	配当あり	いいえ	13.57	1.55	135.7	2531.0	1650.0	Communication Services			OK	通常掲載可	OK	18394.0	8.06	44.32	60.97	0.24	-481.3	169.51	57.22	11.93	2
