コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
3900	クラウドワークス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	586.0						配当未取得			1.39	92.8	1147.0	546.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	22657.4	7.76	32.39	42.03	0.59	1738.3	-29.8		-5.91	
3901	マークラインズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1267.0	4.1	52.0	4.24	52.0	4.1	配当あり	いいえ	10.9	2.57	161.5	2227.0	1212.0	Communication Services			OK	通常掲載可	OK	5570.4	37.62	0.15	74.19		1729.2	116.2	44.75	23.47	11
3903	ｇｕｍｉ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	235.0						配当未取得		8.39	0.59	119.9	693.0	222.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8942.7	4.15	-25.89	71.04	0.24	-2541.4	28.02		6.29	0
3904	カヤック	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	392.0	0.99	3.9	0.99	3.9	0.99	配当あり	いいえ	9.19	1.02	60.4	606.0	374.0	Communication Services			OK	通常掲載可	OK	20094.7	5.33	20.13	42.77	0.56	352.6	42.65	9.14	7.91	0
3905	データセクション	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3420.0						配当未取得		37.82	5.24	1015.0	6140.0	1270.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	33605.0	10.55	1042.0	67.77	0.03	-10020.2	90.44		25.74	
3907	シリコンスタジオ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	888.0	1.13	10.0	1.11	10.0	1.13	配当あり	いいえ	11.83	1.4	24.4	2190.0	568.0	Communication Services			OK	通常掲載可	OK	4303.0	3.49	15.02	66.2	0.18	276.0	75.07	13.32	4.98	0
3908	コラボス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	318.0	1.89	6.0	1.89	6.0	1.89	配当あり	いいえ	14.64	1.08	14.8	670.0	274.0	Technology			OK	通常掲載可	OK	1699.0	4.37	-10.9	81.87	0.12	121.0	21.72	27.62	7.6	
3909	ショーケース	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	192.0						配当未取得		6.19	0.98	16.5	450.0	181.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6211.4	-2.67	9.29	22.83	2.33	-902.3	31.04		15.83	2
3910	エムケイシステム	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	270.0	2.96	8.0	2.93	8.0	2.96	配当あり	いいえ	5.71	1.62	14.7	346.0	260.0	Technology			OK	通常掲載可	OK	3290.2	-0.71	24.63	27.34	1.8	41.6	47.28	16.92	32.34	0
3911	Ａｉｍｉｎｇ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	197.0						配当未取得		8.46	1.31	91.9	313.0	156.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15826.2	13.14	-7.38	74.7	0.01	4513.5	23.28		14.8	0
