コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
7034	プロレド・パートナーズ	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	334.0						配当未取得		13.71	0.6	36.5	805.0	320.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	12302.7	40.2	158.72	47.8	0.11	5149.2	24.37		15.97	
7035	ａｎｄ　ｆａｃｔｏｒｙ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	247.0						配当未取得			3.43	27.8	345.0	201.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3209.0	-8.42	-36.13	44.12	0.4	-488.8	-22.87		-27.14	
7036	イーエムネットジャパン	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	605.0	5.62	34.0	5.59	34.0	5.62	配当あり	いいえ		3.01	23.4	1270.0	585.0	Communication Services			OK	通常掲載可	OK	1594.8	82.49	19.94	33.26	0.0	-191.9	-116.39		-42.42	0
7037	テノ．ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	840.0	2.38	20.0	2.29	20.0	2.38	配当あり	いいえ	34.87	2.06	38.4	1311.0	474.0	Healthcare			OK	通常掲載可	OK	18129.0	3.48	13.19	17.3	3.09	803.0	24.09	83.02	9.22	1
7038	フロンティア・マネジメント	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	545.0						配当未取得			3.86	64.1	744.0	526.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	13489.5	-2.55	45.59	9.47	3.09	-2072.8	-94.1		-10.76	2
7039	ブリッジインターナショナルグループ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1662.0	5.72	95.0	5.66	95.0	5.72	配当あり	いいえ	11.13	1.33	58.9	2125.0	1586.0	Industrials			OK	通常掲載可	OK	8564.9	10.2	-0.59	83.55	0.01	385.8	149.26	63.65	12.23	1
7040	サン・ライフホールディング	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	980.0	3.47	34.0	3.47	34.0	3.47	配当あり	いいえ	9.68	0.87	60.0	1297.0	901.0	Consumer Cyclical			OK	通常掲載可	OK	14149.6	7.79	2.12	19.2		226.6	101.23	33.59	9.16	0
7041	ＣＲＧホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	267.0	3.37	9.0	3.49	9.0	3.37	配当あり	いいえ	38.47	0.5	14.9	398.0	240.0	Industrials			OK	通常掲載可	OK	16420.2	1.7	-3.92	32.23	1.54	-278.6	6.94	129.68	1.27	
7042	アクセスグループ・ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	616.0	3.57	22.0	3.52	22.0	3.57	配当あり	いいえ	12.31	1.38	21.2	950.0	517.0	Consumer Cyclical			OK	通常掲載可	OK	3594.9	6.42	4.14	50.87	0.51	155.0	50.06	43.95	12.19	2
7043	アルー	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	940.0	1.17	11.0	1.18	11.0	1.17	配当あり	いいえ	9.99	1.84	24.0	1238.0	759.0	Industrials			OK	通常掲載可	OK	3637.8	9.73	17.77	58.91	0.33	534.3	94.06	11.69	24.13	0
7044	ピアラ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	471.0						配当未取得		16.94	5.27	33.8	678.0	462.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15731.2	0.26	16.63	13.63	2.57	266.8	27.81		14.09	0
7046	ＴＤＳＥ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1350.0	0.74	10.0	0.79	10.0	0.74	配当あり	いいえ	16.18	1.19	28.3	1810.0	1200.0	Technology			OK	通常掲載可	OK	2699.1	7.36	7.05	80.86	0.0	197.3	83.44	11.98	7.59	0
7047	ポート	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	2165.0	1.15	25.0	1.16	25.0	1.15	配当あり	いいえ	10.65	2.69	284.0	2572.0	1760.0	Communication Services			OK	通常掲載可	OK	29100.0	13.87	32.5	29.28	1.3	2289.0	203.2	12.3	8.58	1
7048	ベルトラ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	164.0						配当未取得		43.16	2.27	60.0	312.0	115.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4581.6	2.29	6.43	28.39	0.0	920.2	3.8		3.01	
7049	識学	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	852.0						配当未取得		25.37	2.5	71.7	1017.0	744.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6536.9	7.52	21.75	59.77	0.04	76.9	33.58		42.13	
7050	フロンティアインターナショナル	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1305.0	5.59	73.0	5.68	73.0	5.59	配当あり	いいえ	9.4	1.18	116.9	1724.0	1040.0	Communication Services			OK	通常掲載可	OK	20335.1	6.28	20.01	61.8	0.03	1601.7	138.78	52.6	14.46	1
7057	エヌ・シー・エヌ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	909.0	3.63	33.0	3.63	33.0	3.63	配当あり	いいえ	18.69	1.28	27.1	1188.0	856.0	Industrials			OK	通常掲載可	OK	8414.2	1.81	3.57	34.99	0.05	284.1	48.63	67.86	7.03	1
7058	共栄セキュリティーサービス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	3090.0	3.88	120.0	3.86	120.0	3.88	配当あり	いいえ	6.98	0.89	44.7	3155.0	2421.0	Industrials			OK	通常掲載可	OK	10113.4	4.79	8.11	71.34	0.11	398.7	442.77	27.1	13.47	0
