コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
4719	アルファシステムズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	3300.0	4.24	140.0	4.19	140.0	4.24	配当あり	いいえ	12.35	1.02	463.3	4240.0	3055.0	Technology			OK	通常掲載可	OK	40722.5	12.14	5.82	85.15		2129.0	267.27	52.38	8.45	2
471A	ＮＳグループ	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	7	TOPIX Small 2	1464.0	5.19	76.0	5.17	76.0	5.19	配当あり	いいえ	12.89	2.63	712.8	1799.0	1274.0	Industrials			OK	通常掲載可	OK	29826.0	33.1	13.2	37.93	0.93	7815.0	113.56	66.92	20.4	
4720	城南進学研究社	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	235.0	2.13	5.0	2.16	5.0	2.13	配当あり	いいえ	391.67	1.36	18.9	363.0	224.0	Consumer Defensive			OK	通常掲載可	OK	5624.0	-4.1	-3.89	27.46	0.87	-197.9	0.6	833.33	0.28	0
4722	フューチャー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	6	TOPIX Small 1	1532.0	3.13	48.0	3.12	48.0	3.13	配当あり	いいえ	11.6	2.14	1358.5	2448.0	1429.0	Technology			OK	通常掲載可	OK	75993.0	21.29	8.75	64.37	0.24	6632.0	132.11	36.33	20.3	13
4725	ＣＡＣ　Ｈｏｌｄｉｎｇｓ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1745.0	5.73	100.0	5.74	100.0	5.73	配当あり	いいえ	9.12	0.87	301.7	2233.0	1731.0	Technology			OK	通常掲載可	OK	50588.0	5.1	-2.83	65.58	0.08	1115.0	191.27	52.28	11.02	3
4728	トーセ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	642.0	3.89	25.0	3.91	25.0	3.89	配当あり	いいえ	12.22	0.77	48.7	713.0	612.0	Communication Services			OK	通常掲載可	OK	6636.3	10.4	43.78	78.13		257.5	52.54	47.58	6.44	0
472A	ミラティブ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	407.0						配当未取得		8.69	1.83	68.9	758.0	378.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	7188.2	4.86	32.18	67.66	0.18	-1135.6	46.81		21.06	
4732	ユー・エス・エス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	4	TOPIX Mid400	1902.5	2.89	55.0	2.89	55.0	2.89	配当あり	いいえ	21.47	4.26	8638.1	1943.5	1576.0	Consumer Cyclical			OK	通常掲載可	OK	104021.0	52.11	6.57	76.38	0.01	33887.0	88.61	62.07	20.03	2
4733	オービックビジネスコンサルタント	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	6082.0	2.14	130.0	2.13	130.0	2.14	配当あり	いいえ	25.2	2.7	4572.2	9379.0	5557.0	Technology			OK	通常掲載可	OK	51400.6	45.88	9.4	76.71		15816.2	241.31	53.87	11.04	2
4735	京進	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	329.0	2.37	7.81	2.37	7.81	2.37	配当あり	いいえ	28.24	0.65	25.3	390.0	279.0	Consumer Defensive			OK	通常掲載可	OK	26455.7	1.92	1.36	17.7	2.53	1025.5	11.65	67.04	2.3	0
4736	日本ラッド	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	602.0	1.66	10.0	1.72	10.0	1.66	配当あり	いいえ	19.29	0.9	31.8	787.0	539.0	Technology			OK	通常掲載可	OK	4131.8	4.11	-5.15	71.27	0.01	68.6	31.2	32.05	4.67	1
4743	アイティフォー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1602.0	4.99	80.0	4.94	80.0	4.99	配当あり	いいえ	15.37	2.05	423.9	1755.0	1425.0	Technology			OK	通常掲載可	OK	23101.0	16.7	12.4	73.59	0.01	2341.5	104.23	76.75	14.15	0
4746	東計電算	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	4415.0	3.92	173.0	3.87	173.0	3.92	配当あり	いいえ	14.95	1.55	793.9	4620.0	3800.0	Technology			OK	通常掲載可	OK	20835.7	30.1	6.12	79.89		5771.3	295.35	58.57	12.49	5
4750	ダイサン	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	537.0	4.1	22.0	4.1	22.0	4.1	配当あり	いいえ	13.14	0.6	34.4	667.0	526.0	Industrials			OK	通常掲載可	OK	10837.5	3.42	4.13	54.61	0.44	1313.5	40.87	53.83	4.64	2
4751	サイバーエージェント	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	4	TOPIX Mid400	1362.0	1.4	19.0	1.41	19.0	1.4	配当あり	いいえ	16.97	3.48	6906.7	1933.0	1204.0	Communication Services			OK	通常掲載可	OK	874030.0	8.2	9.09	32.98	0.51	51741.0	80.28	23.67	21.07	7
4752	昭和システムエンジニアリング	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1529.0	3.99	61.0	3.96	61.0	3.99	配当あり	いいえ	8.52	1.11	65.5	1868.0	1422.0	Technology			OK	通常掲載可	OK	8730.9	11.74	4.97	63.0	0.0	788.5	179.56	33.97	13.66	5
4754	トスネット	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1455.0	2.54	37.0	2.53	37.0	2.54	配当あり	いいえ	12.64	0.81	67.7	1879.0	1373.0	Industrials			OK	通常掲載可	OK	11907.0	7.22	3.0	75.19	0.11	561.4	115.07	32.15	6.58	4
4755	楽天グループ	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	4	TOPIX Mid400	753.4						配当未取得			1.82	16376.6	1068.5	686.1	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2496575.0	0.58	9.54	3.45	5.61	218125.0	-82.24		-5.23	0
475A	ギミック	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	637.0						配当未取得		8.83	1.36	33.3	1249.0	580.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3552.2	7.67	10.2	43.7	0.32	189.5	72.11		19.6	
4760	アルファ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1600.0	4.38	70.0	4.38	70.0	4.38	配当あり	いいえ	9.1	0.87	12.9	3990.0	1510.0	Communication Services			OK	通常掲載可	OK	6365.0	3.69	3.93	33.6	1.01	-117.0	175.73	39.83	10.02	1
4761	さくらケーシーエス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1399.0	4.43	62.0	4.48	62.0	4.43	配当あり	いいえ	12.8	0.74	154.0	1631.0	1180.0	Technology			OK	通常掲載可	OK	23790.0	5.9	5.56	78.3	0.04	204.0	109.26	56.75	5.98	4
4762	エックスネット	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1700.0	4.12	70.0	4.12	70.0	4.12	配当あり	いいえ	13.09	2.18	71.1	1705.0	1317.0	Technology			OK	通常掲載可	OK	5300.6	16.24	-4.45	43.73	0.86	319.8	129.88	53.9	17.54	4
4763	クリーク・アンド・リバー社	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	1320.0	3.79	50.0	3.83	50.0	3.79	配当あり	いいえ	6.87	1.46	279.5	1629.0	1213.0	Industrials			OK	通常掲載可	OK	61393.9	8.0	22.11	40.85	0.6	1475.1	192.24	26.01	23.49	0
4765	ＳＢＩグローバルアセットマネジメント	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	570.0	4.82	27.5	4.85	27.5	4.82	配当あり	いいえ	20.15	2.41	787.0	672.0	555.0	Financial Services			OK	通常掲載可	OK	27859.6	18.5	140.81	61.54	0.0	2192.5	28.29	97.21	12.82	6
4766	ピーエイ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	180.0	2.89	5.2	2.91	5.2	2.89	配当あり	いいえ	20.2	4.3	19.4	304.0	177.0	Industrials			OK	通常掲載可	OK	2021.1	6.31	7.67	37.24	1.11	53.5	8.91	58.36	25.34	1
4767	テー・オー・ダブリュー	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	319.0	5.74	18.3	5.72	18.3	5.74	配当あり	いいえ	10.85	1.27	131.9	398.0	305.0	Communication Services			OK	通常掲載可	OK	17782.9	12.11	1.6	69.57	0.06	632.9	29.41	62.22	11.22	2
4768	大塚商会	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	2773.5	3.43	95.0	3.39	95.0	3.43	配当あり	いいえ	16.4	2.68	10517.1	3353.0	2697.0	Technology			OK	通常掲載可	OK	1322791.0	6.8	19.42	54.08	0.02	72192.0	169.14	56.17	17.78	16
4769	ＩＣ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1099.0	3.64	40.0	3.64	40.0	3.64	配当あり	いいえ	20.66	1.27	81.7	1208.0	962.0	Technology			OK	通常掲載可	OK	10136.1	5.09	9.11	73.91		110.0	53.19	75.2	6.27	5
