コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
3900	クラウドワークス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	582.0						配当未取得			1.38	92.1	1147.0	546.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	22657.4	7.76	32.39	42.03	0.59	1738.3	-29.83		-5.91	
3901	マークラインズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1227.0	4.24	52.0	4.23	52.0	4.24	配当あり	いいえ	10.57	2.49	156.4	2227.0	1212.0	Communication Services			OK	通常掲載可	OK	5570.4	37.62	0.15	74.19		1729.2	116.11	44.79	23.47	11
3903	ｇｕｍｉ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	228.0						配当未取得		8.14	0.58	116.3	700.0	222.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	8942.7	4.15	-25.89	71.04	0.24	-2541.4	28.01		6.29	0
3904	カヤック	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	392.0	0.99	3.9	1.01	3.9	0.99	配当あり	いいえ	9.19	1.02	60.4	606.0	374.0	Communication Services			OK	通常掲載可	OK	20094.7	5.33	20.13	42.77	0.56	352.6	42.64	9.15	7.91	0
3905	データセクション	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3465.0						配当未取得		38.4	5.31	1028.3	6140.0	1270.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2942.6	-16.86	32.0	51.9	0.57	-1105.0	90.23		25.74	
3907	シリコンスタジオ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	898.0	1.11	10.0	1.08	10.0	1.11	配当あり	いいえ	11.97	1.42	24.6	2190.0	568.0	Communication Services			OK	通常掲載可	OK	4303.0	3.49	15.02	66.2	0.18	276.0	75.05	13.32	4.98	0
3908	コラボス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	318.0	1.89	6.0	1.89	6.0	1.89	配当あり	いいえ	14.65	1.08	14.8	670.0	274.0	Technology			OK	通常掲載可	OK	1699.0	4.37	-10.9	81.87	0.12	121.0	21.71	27.64	7.6	
3909	ショーケース	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	188.0						配当未取得		6.06	0.96	16.1	450.0	181.0	Technology	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	6211.4	-2.67	9.29	22.83	2.33	-902.3	31.02		15.84	2
3910	エムケイシステム	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	273.0	2.93	8.0	3.0	8.0	2.93	配当あり	いいえ	5.77	1.64	14.8	346.0	260.0	Technology			OK	通常掲載可	OK	3290.2	-0.71	24.63	27.34	1.8	41.6	47.29	16.92	32.34	0
3911	Ａｉｍｉｎｇ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	193.0						配当未取得		8.29	1.28	90.1	313.0	156.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	15826.2	13.14	-7.38	74.7	0.01	4513.5	23.27		14.8	0
