コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
7131	のむら産業	スタンダード（内国株式）	6050	卸売業	13	商社・卸売	-	-	3495.0	2.75	96.0	2.75	96.0	2.75	配当あり	いいえ	6.46	1.78	46.2	4450.0	2058.0	Consumer Cyclical			OK	通常掲載可	OK	7111.9	10.59	7.55	47.3	0.01	932.8	540.68	17.76	30.8	3
7133	ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ	グロース（内国株式）	6100	小売業	14	小売	-	-	1100.0	3.64	40.0	3.64	40.0	3.64	配当あり	いいえ	15.41	2.87	78.5	1593.0	836.0	Healthcare			OK	通常掲載可	OK	11983.2	6.82	20.01	32.95	1.18	-15.3	71.39	56.03	19.64	
7134	アップガレージグループ	スタンダード（内国株式）	6100	小売業	14	小売	-	-	1230.0	3.46	42.5	3.46	42.5	3.46	配当あり	いいえ	12.29	1.9	97.5	1317.0	965.0	Consumer Cyclical			OK	通常掲載可	OK	15385.0	7.17	10.04	69.45	0.05	702.2	100.12	42.45	16.02	3
7135	ジャパンクラフトホールディングス	スタンダード（内国株式）	6100	小売業	14	小売	-	-	217.0	1.38	3.0	1.38	3.0	1.38	配当あり	いいえ		0.71	81.0	261.0	194.0	Consumer Cyclical			OK	通常掲載可	OK	15393.7	-10.35	-9.42	26.28	1.13	-1734.4	-1.24		-16.9	
7138	ＴＯＲＩＣＯ	グロース（内国株式）	6100	小売業	14	小売	-	-	121.0						配当未取得			1.09	18.9	630.0	119.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	3677.3	-7.08	-5.66	54.7	0.32	-167.8	-49.69		-29.86	
7140	ペットゴー	グロース（内国株式）	6100	小売業	14	小売	-	-	824.0						配当未取得			1.54	15.5	980.0	732.0	Healthcare	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	9032.6	2.53	-8.81	37.04	0.91	86.9	-121.54		-22.61	
7148	ＦＰＧ	プライム（内国株式）	7100	証券、商品先物取引業	16	金融（除く銀行）	6	TOPIX Small 1	1531.0	6.05	92.7	6.05	92.7	6.05	配当あり	いいえ	8.39	2.14	1282.0	2509.0	1467.0	Financial Services			OK	通常掲載可	OK	129764.0	19.59	20.4	44.98	0.95	108015.0	182.5	50.79	26.87	5
7150	島根銀行	スタンダード（内国株式）	7050	銀行業	15	銀行	-	-	469.0	2.13	10.0	2.13	10.0	2.13	配当あり	いいえ	27.93	0.31	38.6	720.0	457.0	Financial Services			OK	通常掲載可	OK	9550.0		10.0	2.19	1.48	-4486.0	16.79	59.56	2.71	0
7157	ライフネット生命保険	プライム（内国株式）	7150	保険業	16	金融（除く銀行）	6	TOPIX Small 1	1510.0						配当未取得		15.53	1.27	1213.1	2631.0	1470.0	Financial Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	33377.0		13.96	78.47	0.01	7990.0	97.24		8.57	
7161	じもとホールディングス	スタンダード（内国株式）	7050	銀行業	15	銀行	-	-	502.0	1.99	10.0	2.02	10.0	1.99	配当あり	いいえ	5.49	0.15	134.1	624.0	330.0	Financial Services			OK	通常掲載可	OK	34724.0		6.9	3.53	0.88	-20399.0	91.36	10.95	3.03	0
7162	アストマックス	スタンダード（内国株式）	4050	電気・ガス業	11	電力・ガス	-	-	256.0	2.73	7.0	2.73	7.0	2.73	配当あり	いいえ	1.7	0.44	33.7	519.0	198.0	Financial Services			OK	通常掲載可	OK	25258.3	10.44	22.22	35.42	0.42	622.0	150.58	4.65	30.04	0
7164	全国保証	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	4	TOPIX Mid400	3022.0	4.07	123.0	4.04	123.0	4.07	配当あり	いいえ	12.48	1.64	4015.1	3582.0	2780.0	Financial Services			OK	通常掲載可	OK	58739.0	70.45	3.1	48.95	0.12	32440.0	242.06	50.81	13.44	12
7167	めぶきフィナンシャルグループ	プライム（内国株式）	7050	銀行業	15	銀行	4	TOPIX Mid400	1431.5	2.79	40.0	2.79	40.0	2.79	配当あり	いいえ	15.87	1.25	13435.4	1456.5	745.1	Financial Services			OK	通常掲載可	OK	341887.0		22.01	5.09	1.19	-1136385.0	90.18	44.36	8.24	3
7172	ジャパンインベストメントアドバイザー	プライム（内国株式）	7100	証券、商品先物取引業	16	金融（除く銀行）	6	TOPIX Small 1	2002.0	5.39	108.0	5.31	108.0	5.39	配当あり	いいえ	11.49	1.57	1243.3	2496.0	1631.0	Industrials			OK	通常掲載可	OK	38738.0	48.76	24.44	25.03	2.44	-8659.0	174.23	61.99	16.03	2
7173	東京きらぼしフィナンシャルグループ	プライム（内国株式）	7050	銀行業	15	銀行	6	TOPIX Small 1	1760.0	1.7	30.0	1.67	30.0	1.7	配当あり	いいえ	14.05	1.01	5038.1	1920.0	775.0	Financial Services			OK	通常掲載可	OK	167964.0		14.69	5.79	0.22	-146163.0	125.31	23.94	10.66	4
7175	今村証券	スタンダード（内国株式）	7100	証券、商品先物取引業	16	金融（除く銀行）	-	-	1384.0	5.27	73.0	5.36	73.0	5.27	配当あり	いいえ	6.6	0.54	70.8	1434.0	1050.0	Financial Services			OK	通常掲載可	OK	4914.5	28.64	17.39	49.58	0.23	3079.6	209.68	34.81	8.35	0
7177	ＧＭＯフィナンシャルホールディングス	スタンダード（内国株式）	7100	証券、商品先物取引業	16	金融（除く銀行）	-	-	979.0	5.59	54.76	5.57	54.76	5.59	配当あり	いいえ	11.11	3.76	1155.1	1179.0	775.0	Financial Services			OK	通常掲載可	OK	49515.0	32.05	-7.04	3.76	4.77	10671.0	88.11	62.15	20.74	1
7180	九州フィナンシャルグループ	プライム（内国株式）	7050	銀行業	15	銀行	4	TOPIX Mid400	1466.5	2.59	38.0	2.64	38.0	2.59	配当あり	いいえ	16.42	0.82	6211.5	1505.0	719.0	Financial Services			OK	通常掲載可	OK	208815.0		0.1	5.63	1.61	-76427.0	89.31	42.55	5.15	3
7181	かんぽ生命保険	プライム（内国株式）	7150	保険業	16	金融（除く銀行）	4	TOPIX Mid400	1519.0	3.29	50.0	3.28	50.0	3.29	配当あり	いいえ	10.01	0.4	16460.1	1771.67	1070.33	Financial Services			OK	通常掲載可	OK	2883318.0		-18.57	7.11	0.12	-1928702.0	151.75	32.95	4.57	3
7182	ゆうちょ銀行	プライム（内国株式）	7050	銀行業	15	銀行	2	TOPIX Large70	3087.0	6.03	186.0	6.07	186.0	6.03	配当あり	いいえ	20.83	1.19	109957.3	3308.0	1551.0	Financial Services			OK	通常掲載可	OK	1680312.0		-12.7	3.87	0.28	4543699.0	148.18	125.52	5.88	2
7183	あんしん保証	スタンダード（内国株式）	7200	その他金融業	16	金融（除く銀行）	-	-	253.0	1.19	3.0	1.27	3.0	1.19	配当あり	いいえ	15.22	1.69	43.9	257.0	142.0	Financial Services			OK	通常掲載可	OK	6162.4	4.2	14.62	17.57	0.29	-114.7	16.62	18.05	11.73	0
7184	富山第一銀行	プライム（内国株式）	7050	銀行業	15	銀行	6	TOPIX Small 1	2546.0	2.95	75.0	2.95	75.0	2.95	配当あり	いいえ	10.64	0.81	1549.3	2899.0	983.0	Financial Services			OK	通常掲載可	OK	48331.0		4.58	11.67	0.13	17327.0	239.32	31.34	8.58	4
7185	ヒロセ通商	スタンダード（内国株式）	7100	証券、商品先物取引業	16	金融（除く銀行）	-	-	3845.0	1.01	39.0	1.03	39.0	1.01	配当あり	いいえ	11.29	1.09	236.6	4345.0	3415.0	Financial Services			OK	通常掲載可	OK	10490.6	28.98	2.81	15.89	0.33	-482.1	340.67	11.45	9.92	0
7186	横浜フィナンシャルグループ	プライム（内国株式）	7050	銀行業	15	銀行	4	TOPIX Mid400	1739.0	2.76	48.0	2.76	48.0	2.76	配当あり	いいえ	18.42	1.38	19328.6	1822.0	919.8	Financial Services			OK	通常掲載可	OK	314419.0		9.71	5.19	1.76	360451.0	94.43	50.83	7.96	5
7187	ジェイリース	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	7	TOPIX Small 2	1323.0	4.54	60.0	4.54	60.0	4.54	配当あり	いいえ	9.52	3.19	235.9	1790.0	1195.0	Real Estate			OK	通常掲載可	OK	21574.7	16.8	24.93	33.37	0.77	-74.9	138.92	43.19	37.15	4
7189	西日本フィナンシャルホールディングス	プライム（内国株式）	7050	銀行業	15	銀行	4	TOPIX Mid400	4183.0	3.35	140.0	3.35	140.0	3.35	配当あり	いいえ	0.01	0.94	5826.2	4486.0	2131.0	Financial Services			OK	通常掲載可	OK	190231.0		23.17	4.45	2.26	-105876.0	288017.94	0.05	6.87	4
7191	イントラスト	スタンダード（内国株式）	7200	その他金融業	16	金融（除く銀行）	-	-	1069.0	4.68	50.0	4.67	50.0	4.68	配当あり	いいえ	13.75	2.94	239.2	1222.0	881.0	Financial Services			OK	通常掲載可	OK	12283.3	22.52	16.18	63.3		1542.2	77.72	64.33	23.1	8
7192	日本モーゲージサービス	スタンダード（内国株式）	7200	その他金融業	16	金融（除く銀行）	-	-	552.0	5.43	30.0	5.4	30.0	5.43	配当あり	いいえ	7.5	0.85	81.2	738.0	418.0	Financial Services			OK	通常掲載可	OK	7960.2	19.89	5.21	38.7	0.94	-1270.4	73.58	40.77	12.04	1
7196	Ｃａｓａ	スタンダード（内国株式）	7200	その他金融業	16	金融（除く銀行）	-	-	792.0	2.53	20.0	2.54	20.0	2.53	配当あり	いいえ	63.72	1.13	71.9	872.0	706.0	Financial Services			OK	通常掲載可	OK	12754.0	-0.5	4.91	43.47	0.09	356.5	12.43	160.9	13.63	1
7198	ＳＢＩアルヒ	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	7	TOPIX Small 2	781.0	5.12	40.0	5.11	40.0	5.12	配当あり	いいえ	19.3	1.06	347.2	950.0	767.0	Financial Services			OK	通常掲載可	OK	25086.0	35.45	12.53	18.36	3.14	-15506.0	40.46	98.86	15.2	0
7199	プレミアグループ	プライム（内国株式）	7200	その他金融業	16	金融（除く銀行）	6	TOPIX Small 1	2094.0	3.06	64.0	3.08	64.0	3.06	配当あり	いいえ	13.26	3.22	814.0	2468.0	1609.0	Financial Services			OK	通常掲載可	OK	44042.0	19.07	20.96	12.7	3.36	-22909.0	157.89	40.53	27.46	6
7201	日産自動車	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	4	TOPIX Mid400	303.7						配当未取得			0.22	10618.5	466.0	290.8	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	12633214.0	0.55	-0.41	26.06	1.63	-624342.0	-152.58		-9.86	0
7202	いすゞ自動車	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	4	TOPIX Mid400	2154.5	4.36	94.0	4.36	94.0	4.36	配当あり	いいえ	11.16	1.0	14806.5	2929.0	1809.5	Consumer Cyclical			OK	通常掲載可	OK	3479074.0	5.86	7.52	40.39	0.58	31207.0	193.11	48.68	10.68	0
7203	トヨタ自動車	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	1	TOPIX Core30	2724.5	3.67	100.0	3.67	100.0	3.67	配当あり	いいえ	9.23	0.89	322609.5	4000.0	2442.0	Consumer Cyclical			OK	通常掲載可	OK	50684952.0	7.43	5.51	37.83	1.08	179572.0	295.06	33.89	10.23	6
7208	カネミツ	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	1214.0	3.46	42.0	3.42	42.0	3.46	配当あり	いいえ	8.45	0.5	62.1	1378.0	838.0	Consumer Cyclical			OK	通常掲載可	OK	11039.8	7.97	-0.7	77.21	0.03	1629.5	143.74	29.22	6.17	5
7211	三菱自動車工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	4	TOPIX Mid400	314.3	3.18	10.0	3.2	10.0	3.18	配当あり	いいえ	41.96	0.46	4206.4	458.0	300.7	Consumer Cyclical			OK	通常掲載可	OK	2896536.0	2.61	3.88	38.02	0.43	-87142.0	7.49	133.51	2.19	0
7212	エフテック	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	647.0	3.09	20.0	3.1	20.0	3.09	配当あり	いいえ	2.53	0.21	120.2	865.0	605.0	Consumer Cyclical			OK	通常掲載可	OK	291866.0	2.88	-2.98	31.83	1.2	10516.0	255.31	7.83	7.47	0
7213	レシップホールディングス	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	590.0	4.41	26.0	4.5	26.0	4.41	配当あり	いいえ	7.73	0.83	91.3	643.0	434.0	Technology			OK	通常掲載可	OK	23898.2	5.31	-7.84	50.55	0.12	3030.1	76.3	34.08	11.17	2
7214	ＧＭＢ	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	959.0	5.63	54.0	5.59	54.0	5.63	配当あり	いいえ		0.22	51.1	994.0	806.0	Consumer Cyclical			OK	通常掲載可	OK	105280.6	3.15	1.51	23.7	1.76	-2545.0	-193.14		-1.52	4
7215	ファルテック	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	415.0						配当未取得			0.21	38.9	460.0	337.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	73202.0	2.18	-7.47	28.95	1.39	673.0	-89.31		-3.36	0
7217	テイン	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	422.0	4.27	18.0	4.18	18.0	4.27	配当あり	いいえ	12.69	0.62	41.4	459.0	359.0	Consumer Cyclical			OK	通常掲載可	OK	5594.3	5.97	4.67	76.03	0.09	248.1	33.25	54.14	5.2	0
7218	田中精密工業	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	1002.0	3.39	34.0	3.27	34.0	3.39	配当あり	いいえ	8.14	0.38	86.8	1294.0	925.0	Consumer Cyclical			OK	通常掲載可	OK	43790.5	5.42	8.19	54.4	0.26	-2432.2	123.03	27.64	4.44	4
7219	エッチ・ケー・エス	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	2304.0	2.82	65.0	2.78	65.0	2.82	配当あり	いいえ	7.87	0.3	32.6	2400.0	2062.0	Consumer Cyclical			OK	通常掲載可	OK	8976.6	4.4	-0.31	80.48	0.05	304.8	292.84	22.2	3.88	0
7220	武蔵精密工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	3930.0	1.02	40.0	1.02	40.0	1.02	配当あり	いいえ	204.05	2.11	2575.8	10550.0	2210.0	Consumer Cyclical			OK	通常掲載可	OK	347200.0	5.92	0.0	40.46	0.81	6230.0	19.26	207.68	1.84	0
7222	日産車体	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	7	TOPIX Small 2	930.0	1.94	18.0	1.94	18.0	1.94	配当あり	いいえ	18.62	0.69	1259.7	1319.0	887.0	Consumer Cyclical			OK	通常掲載可	OK	403800.0	3.51	15.2	66.33	0.02	21989.0	49.94	36.04	3.82	0
7224	新明和工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	1998.0	2.9	58.0	2.89	58.0	2.9	配当あり	いいえ	11.52	1.06	1321.5	2744.0	1576.0	Industrials			OK	通常掲載可	OK	285024.0	5.73	6.97	42.18	0.39	14059.0	173.43	33.44	9.67	4
7226	極東開発工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	2132.0	5.63	120.0	5.67	120.0	5.63	配当あり	いいえ	22.22	0.72	821.0	3550.0	2041.0	Industrials			OK	通常掲載可	OK	161332.0	5.5	14.87	55.75	0.37	3374.0	95.94	125.08	3.19	2
7228	デイトナ	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	3800.0	3.95	150.0	3.95	150.0	3.95	配当あり	いいえ	8.22	0.96	92.3	4330.0	3550.0	Consumer Cyclical			OK	通常掲載可	OK	14377.0	11.21	-1.38	80.72	0.09	725.1	462.46	32.44	13.31	2
7229	ユタカ技研	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-							配当未取得								yfinanceデータなし	yfinanceで株価・配当データが取得できなかった	除外推奨	掲載非推奨	データなし										
7231	トピー工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	7	TOPIX Small 2	2746.0	4.92	135.0	4.98	135.0	4.92	配当あり	いいえ	5.9	0.41	593.5	3710.0	2240.0	Consumer Cyclical			OK	通常掲載可	OK	297750.0	2.61	-0.95	53.01	0.41	2976.0	465.31	29.01	7.25	4
7235	東京ラヂエーター製造	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	1456.0	5.36	78.0	5.38	78.0	5.36	配当あり	いいえ	6.78	0.58	138.6	1840.0	892.0	Consumer Cyclical			OK	通常掲載可	OK	35382.7	6.66	3.88	71.97	0.0	728.3	214.89	36.3	8.47	3
7236	ティラド	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	7	TOPIX Small 2	1480.0	5.41	80.0	5.55	80.0	5.41	配当あり	いいえ	9.76	0.16	837.8	1590.0	448.0	Consumer Cyclical			OK	通常掲載可	OK	162278.0	6.94	1.91	53.15	0.41	4908.0	151.7	52.74	17.24	2
7238	曙ブレーキ工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	7	TOPIX Small 2	108.0						配当未取得		31.03	0.58	293.1	183.0	100.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	160109.0	3.48	-0.97	39.3	0.7	257.0	3.48		4.85	0
7239	タチエス	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	2102.0	5.47	115.0	5.42	115.0	5.47	配当あり	いいえ	7.83	0.69	721.4	2354.0	1701.0	Consumer Cyclical			OK	通常掲載可	OK	269009.0	4.31	-5.74	61.56	0.06	7808.0	268.43	42.84	9.52	5
7240	ＮＯＫ	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	4	TOPIX Mid400	2904.5	4.82	140.0	4.82	140.0	4.82	配当あり	いいえ	10.16	0.74	4613.7	3355.0	2089.5	Consumer Cyclical			OK	通常掲載可	OK	738434.0	4.47	-3.71	65.66	0.1	18328.0	285.8	48.99	7.88	5
7241	フタバ産業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	945.0	4.87	46.0	4.89	46.0	4.87	配当あり	いいえ	5.24	0.61	843.9	1179.0	770.0	Consumer Cyclical			OK	通常掲載可	OK	677919.0	2.76	-4.13	41.54	0.39	10387.0	180.31	25.51	12.79	3
7242	カヤバ	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	3855.0	2.8	108.0	2.8	108.0	2.8	配当あり	いいえ	6.1	0.67	1550.9	5320.0	2984.0	Consumer Cyclical			OK	通常掲載可	OK	481529.0	6.68	9.86	50.59	0.46	-2806.0	631.88	17.09	12.38	1
7244	市光工業	プライム（内国株式）	3650	電気機器	9	電機・精密	7	TOPIX Small 2	497.0	3.62	18.0	3.59	18.0	3.62	配当あり	いいえ	7.77	1.5	478.4	595.0	353.0	Consumer Cyclical			OK	通常掲載可	OK	117089.0	4.97	-6.73	61.02	0.07	7419.0	63.96	28.14	21.04	5
7245	大同メタル工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	7	TOPIX Small 2	1771.0	2.03	36.0	2.15	36.0	2.03	配当あり	いいえ	17.89	1.01	823.9	1832.0	630.0	Consumer Cyclical			OK	通常掲載可	OK	142009.0	5.9	4.19	39.19	0.8	3746.0	99.0	36.36	6.2	2
7246	プレス工業	プライム（内国株式）	3700	輸送用機器	6	自動車・輸送機	6	TOPIX Small 1	782.0	5.63	44.0	5.63	44.0	5.63	配当あり	いいえ	9.11	0.63	762.9	1006.0	542.0	Consumer Cyclical			OK	通常掲載可	OK	202167.0	6.68	6.47	58.01	0.06	4557.0	85.88	51.23	7.94	5
7247	ミクニ	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	354.0	4.24	15.0	4.23	15.0	4.24	配当あり	いいえ	4.22	0.3	119.0	435.0	278.0	Consumer Cyclical			OK	通常掲載可	OK	101428.0	2.99	1.49	34.49	1.08	-3584.0	83.9	17.88	3.08	0
7254	ユニバンス	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	720.0	2.78	20.0	2.8	20.0	2.78	配当あり	いいえ	16.15	0.51	150.3	915.0	442.0	Consumer Cyclical			OK	通常掲載可	OK	56542.6	8.87	4.87	59.94	0.02	4212.9	44.57	44.87	3.44	5
7255	桜井製作所	スタンダード（内国株式）	3700	輸送用機器	6	自動車・輸送機	-	-	466.0	1.5	7.0	1.5	7.0	1.5	配当あり	いいえ	6.63	0.31	15.0	710.0	429.0	Consumer Cyclical			OK	通常掲載可	OK	4964.1	3.29	-10.38	65.94	0.33	59.4	70.27	9.96	4.75	1
