コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
3900	クラウドワークス	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	564.0						配当未取得			1.34	89.3	1147.0	546.0	Industrials	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3901	マークラインズ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1227.0	4.24	52.0	4.26	52.0	4.24	配当あり	いいえ	10.56	2.49	156.4	2227.0	1212.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
3903	ｇｕｍｉ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	230.0						配当未取得		8.21	0.58	117.3	708.0	222.0	Communication Services	あり	暗号資産（抽選）、QUOカード: 500株以上 | ◇抽選で総額1600万円相当のBTC、XRPを進呈。 1、10万円相当のBTC、XRP 各15名 2、３万円相当のBTC、XRP 各50名 3、１万円相当のBTC、XRP 各500名 | ※BTC、XRPの進呈数は、2026年8月14日23時59分時点のSBI VCトレードにおける販売価格に基づき決定	100	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3904	カヤック	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	388.0	1.01	3.9	1.0	3.9	1.01	配当あり	いいえ	9.1	1.01	59.8	606.0	374.0	Communication Services	あり	自社グループ株主優待: 100株以上 | ◇以下を贈呈 1、「まちの社員食堂」お食事を会員価格で提供 2、「御成桑拿」サウナ1回（90分）利用の無料チケット 3、「鎌倉自宅葬儀社」葬儀プラン料金5万円割引 4、「自分達の会社・地域に面白い仕組み導入ワークショップ」集合型研修に無料ご招待 5、「FC琉球」公式オンラインショップの関連グッズ ５％割引（3000円以上購入時） 6、「株主優待ガチャ」幸運の琉球ガラスうんこ、うんこミュージアム OKINAWA 入場チケット、カヤックゼロの 「沖縄黒島の塩」、ジンベーニョグッズ、QUOカード10万円分など | ■贈呈時期 定時株主総会後（2026年4月上	100	高			OK	OK	OK	通常掲載可	OK	OK
3905	データセクション	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	4180.0						配当未取得		46.24	6.41	1240.5	6140.0	1270.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3907	シリコンスタジオ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	943.0	1.06	10.0	0.94	10.0	1.06	配当あり	いいえ	12.56	1.49	25.9	2190.0	568.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
3908	コラボス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	319.0	1.88	6.0	1.88	6.0	1.88	配当あり	いいえ	14.69	1.09	14.8	670.0	274.0	Technology	あり	デジタルギフト: 1,000株以上 | 【1年以上保有】 15,000円相当 | ◇対象となる交換先：Amazon ギフトカード／PayPay マネーライト／楽天ポイントギフト／d ポイント／au PAY ギフトカード／QUO カード Pay／FamiPay ギフト／Google Play ギフトコード／PlayStationStore チケット／DMM プリペイドカード／Uber Eats ギフトカード／すかいらーくご優待券／選べるお取り寄せグルメカード／ビットコイン by bitFlyer等 ■継続保有期間について １年以上継続して保有されている株主様（2026 年３月 31 日を初回とし	1000	高			OK	OK	OK	通常掲載可	OK	OK
3909	ショーケース	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	190.0						配当未取得		6.13	0.97	16.3	450.0	181.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3910	エムケイシステム	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	263.0	3.04	8.0	3.05	8.0	3.04	配当あり	いいえ	5.56	1.58	14.3	346.0	260.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3911	Ａｉｍｉｎｇ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	189.0						配当未取得		8.12	1.25	88.2	313.0	156.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3912	モバイルファクトリー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1105.0	4.62	51.0	4.64	51.0	4.62	配当あり	いいえ	16.33	3.3	71.8	1298.0	910.0	Communication Services	あり	デジタルギフト: 1,000株以上 | 【1年以上保有】 10,000相当 （年間20,000円相当） ■贈呈時期 ３月末日、９月末日を基準日として、各基準日から３ヶ月以内を目途に発送。 | ■継続保有期間について （3月末日及び9月末日）基準日の株主名簿に、1,000株以上の保有を同一株主番号で連続3回以上記載・記録されること。 ※交換先：Amazon ギフトカード ／ QUO カード Pay ／ PayPay マネーライト ／ d ポイント ／ au PAY ギフトカード／ Visa e ギフト vanilla ／ 図書カード NEXT ／ Uber Taxi ギフトカード ／ Uber 	1000	高			OK	OK	OK	通常掲載可	OK	OK
3913	ＧｒｅｅｎＢｅｅ	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	897.0						配当未取得		10.25	1.71	18.1	1548.0	850.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3914	ＪＩＧ－ＳＡＷ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2369.0						配当未取得		37.38	4.41	155.8	4290.0	2208.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3915	テラスカイ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	2307.0	0.74	17.0	0.69	17.0	0.74	配当あり	いいえ	18.95	2.37	297.8	3715.0	1494.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3916	デジタル・インフォメーション・テクノロジー	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	812.0	4.68	38.0	4.74	38.0	4.68	配当あり	いいえ	10.99	2.78	239.2	1415.0	791.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3917	アイリッジ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	402.0						配当未取得		4.94	1.04	31.5	727.0	393.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
3918	ＰＣＩホールディングス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	1238.0	6.14	76.0	6.14	76.0	6.14	配当あり	いいえ	10.87	1.26	122.8	1638.0	1007.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3920	アイビーシー	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	980.0	2.24	22.0	2.22	22.0	2.24	配当あり	いいえ	14.11	2.45	54.5	1151.0	769.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3921	ネオジャパン	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1518.0	3.56	54.0	3.55	54.0	3.56	配当あり	いいえ	11.76	2.81	212.8	2119.0	1437.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3922	ＰＲ　ＴＩＭＥＳ	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	2209.0	0.76	16.8	0.76	16.8	0.76	配当あり	いいえ	12.65	3.22	298.8	3340.0	1971.0	Communication Services	あり	自社掲載コンテンツ商品: 100株以上 | 【6カ月以上保有】 「PR TIMES」ご利用企業85社の商品券・サービス利用券の中から1つ提供 【3年以上保有】 「PR TIMES」ご利用企業85社の商品券・サービス利用券の中から2つ提供 ※2026年2月末実施 全国で使用できるサービスやお食事券、ECサイトでの買い物に使用できるクーポンのほか、食品飲料・日用品などの商品も対象。 ※2026年は「顧客と株主がつながる」プログラム。 ※参画企業は、以下 URL よりご覧いただけます。 https://tayori.com/q/2026/ | ■継続保有期間について ３年以上継続保有とは、前年2月末	100	高			OK	OK	OK	通常掲載可	OK	OK
3923	ラクス	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	4	TOPIX Mid400	885.1	0.9	8.0	0.9	8.0	0.9	配当あり	いいえ	24.01	12.04	3134.2	1395.0	721.9	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3925	ダブルスタンダード	プライム（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	1151.0	6.08	70.0	6.09	70.0	6.08	配当あり	いいえ	14.05	2.33	155.6	1955.0	1140.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
3926	オープンドア	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	7	TOPIX Small 2	291.0						配当未取得			2.6	90.2	525.0	225.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
