コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
2884	ヨシムラ・フード・ホールディングス	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	613.0						配当未取得		15.93	1.18	146.4	1127.0	570.0	Consumer Defensive	あり	自社グループ製品: 300株以上 | 【1年以上保有】 ※2月末のみ贈呈 2,500円相当 | ■継続保有期間について 「株式継続保有期間１年以上」とは毎年２月末日および８月末日現在において、当社株主名簿に、同一の株主番号で保有株式数以上の保有が１年以上継続して記載または記録されている株主さま（同一の株主番号で２月末日、５月末日、８月末日および11月末日現在の株主名簿に、５回以上継続して記載または記録されている株主さま）といたします。なお、上記に加え、当社が定める任意の日にも保有状況を確認し、当社株主名簿に記載又は記録がない場合は対象外といたします。 / 500株以上 | 【1年以上保有】 ※	300	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
288A	ラクサス・テクノロジーズ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	88.0						配当未取得		23.28	0.75	22.7	224.0	87.0	Consumer Cyclical	あり	サブスク割引: 100株以上 | ◇ブランドバッグのサブスクリプション型シェアリングサービス「ラクサス」の月額利用料に充当可能な割引優待。 12,000円相当 （月額 2,000円×6カ月分） | ■進呈時期 確定日3月末：7月上旬 確定日9月末：12月上旬	100	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
2892	日本食品化工	スタンダード（内国株式）	3050	食料品	1	食品	-	-	4155.0	3.61	150.0	3.56	150.0	3.61	配当あり	いいえ	17.41	0.67	199.3	4250.0	3190.0	Consumer Defensive	なし			高			OK	OK	OK	通常掲載可	OK	OK
2894	石井食品	スタンダード（内国株式）	3050	食料品	1	食品	-	-	324.0	1.23	4.0	1.23	4.0	1.23	配当あり	いいえ		1.41	53.9	391.0	310.0	Consumer Defensive	あり	自社製品: 1,000株以上 | ※2025年3月実績 ◆以下より1点を選択 1、イシイ　オンラインストアクーポン券（5,000円相当） 2、株主限定・石井食品詰め合わせセット 3、寄付　日本笑顔プロジェクト 復興支援（3,000円相当）	1000	高			OK	OK	OK	通常掲載可	OK	OK
2897	日清食品ホールディングス	プライム（内国株式）	3050	食料品	1	食品	4	TOPIX Mid400	2756.5	2.54	70.0	2.56	70.0	2.54	配当あり	いいえ	17.64	1.53	7912.8	3354.0	2527.0	Consumer Defensive	あり	自社グループ製品詰合せ、自社クーポン: 100株以上 | 1,000円相当 | ◇グループのオンラインストア・クーポンまたは、寄付も可能 / 300株以上 | 3,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
2901	ウェルディッシュ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	191.0	2.09	4.0	2.09	4.0	2.09	配当あり	いいえ	8.77	0.89	54.6	736.0	161.0	Healthcare	あり	自社製品詰合せ、QUOカード: 3,000株以上 | 【3年未満保有】 20,000円相当 【3年以上保有】 100,000円相当 食品・飲料・栄養補助食品等（有事にも活用可能な保存食やお米、栄養サプリメント含む） | ■贈呈時期 12月中旬頃	300	高			OK	OK	OK	通常掲載可	OK	OK
2903	シノブフーズ	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1443.0	2.36	34.0	2.32	34.0	2.36	配当あり	いいえ	9.65	1.04	154.8	2119.0	1260.0	Consumer Defensive	あり	有明産海苔: 500株以上 | 味付海苔 1缶 | ■継続保有期間について 継続保有期間３年以上：毎年３月３１日および９月３０日の株主名簿に同一の株主番号1000株以上で７回以上連続して株主名簿に記載または記録された株主様 ■贈呈時期 6月 / 1,000株以上 | 【3年未満保有】 味付海苔 1缶 焼海苔 1缶 【3年以上保有】 味付海苔 2缶 焼海苔 1缶	500	高			OK	OK	OK	通常掲載可	OK	OK
2904	一正蒲鉾	スタンダード（内国株式）	3050	食料品	1	食品	-	-	788.0	1.78	14.0	1.79	14.0	1.78	配当あり	いいえ	35.95	0.94	144.4	789.0	732.0	Consumer Defensive	あり	自社商品: 100株以上 | 【6ヵ月以上保有】 1,000円相当 ◇常温保存品、または寄付 | ◇以下の商品より1点を選択。（300株以上） 1、常温保存品（毎年10月頃発送） 2、おせち商品（毎年12月頃発送） 3、平時冷蔵品（毎年翌2月頃発送） 4、社会貢献活動団体への寄付 ※スマホやパソコンから優待のお申込みが可能になります。 ■継続保有期間について 「 6ヶ月以上継続保有」とは、毎年6月末日現在において、直近2回の基準日（12月31日および6月30日）の株主名簿に、保有記録が同一株主番号で2回以上連続している場合をいいます。 / 300株以上 | 【6ヵ月以上保有】 2,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
2907	あじかん	スタンダード（内国株式）	3050	食料品	1	食品	-	-	1445.0	4.01	58.0	4.01	58.0	4.01	配当あり	いいえ	9.88	0.6	108.2	1523.0	1187.0	Consumer Defensive	あり	自社製品詰合せ、広報誌: 100株以上 | 【6カ月以上保有】 3月末：1,000円相当 | ■継続保有期間について 半年以上継続保有とは：基準日時点および、その半年前の期末現在の株主名簿のいずれにも同一の株主番号で記載されていることとします。 ２年以上継続保有とは：基準日時点および、その２年前の期末現在の株主名簿のいずれにも同一の株主番号で記載されていることとします。 ■贈呈時期 確定日3月末：5月下旬 確定日9月末：11月下旬 / 500株以上 | 【6カ月以上保有】 9月末：2,000円相当 【2年以上保有】 3月末：1,000円相当 9月末：2,000円相当 / 2,000株以上 | 	100	高			OK	OK	OK	通常掲載可	OK	OK
2908	フジッコ	プライム（内国株式）	3050	食料品	1	食品	7	TOPIX Small 2	1508.0	3.05	46.0	3.07	46.0	3.05	配当あり	いいえ	30.05	0.62	429.4	1687.0	1455.0	Consumer Defensive	あり	自社製品詰合せ: 100株以上 | 【半年以上保有】 1,000円相当 | ■継続保有期間について 継続保有期間半年以上とは、9月30日及び3月31日の株主名簿に、同一株主番号で、連続して2回以上記載または記録され、各区分の最小株式数（100株または1,000株）を下回ることなく保有している株主様が対象となります。 継続保有期間3年以上とは、9月30日及び3月31日の株主名簿に、同一株主番号で、連続して7回以上記載または記録され、1,000株を下回ることなく保有している株主様が対象となります。 ■贈呈時期 毎年6月 / 1,000株以上 | 【半年以上保有】 3,000円相当 【3年以上保有】	100	高			OK	OK	OK	通常掲載可	OK	OK
