コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
6094	フリークアウト・ホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	504.0						配当未取得		5.97	0.7	87.6	796.0	488.0	Communication Services	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
6096	レアジョブ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	386.0	2.07	8.0	2.07	8.0	2.07	配当あり	いいえ	11.3	1.64	36.8	415.0	278.0	Consumer Defensive	あり	自社グループサービス: 100株以上 | 1、「レアジョブ英会話」10,000円相当※1 2、「レアジョブ英会話コーチング」10,000円相当※2 | ※1、1ヵ月分の料金から10,000円を上限にキャッシュバック。 ※2、「レアジョブ英会話」のレッスン受講がサービス内に含まれておりますが、「レアジョブ英会話」株主優待券との併用はできません。 ■贈呈時期 毎年6月の定時株主総会開催後の発送。	100	高			OK	OK	OK	通常掲載可	OK	OK
6098	リクルートホールディングス	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	1	TOPIX Core30	11040.0	0.24	26.0	0.24	26.0	0.24	配当あり	いいえ	31.75	9.74	153692.1	11755.0	6040.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
6099	エラン	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	737.0	2.17	16.0	2.17	16.0	2.17	配当あり	いいえ	16.1	3.07	445.8	876.0	654.0	Healthcare	なし			高			OK	OK	OK	通常掲載可	OK	OK
6101	ツガミ	プライム（内国株式）	3600	機械	8	機械	6	TOPIX Small 1	7370.0	1.33	98.0	1.33	98.0	1.33	配当あり	いいえ	49.75	4.29	3427.1	8000.0	1777.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
6103	オークマ	プライム（内国株式）	3600	機械	8	機械	6	TOPIX Small 1	4465.0	2.24	100.0	2.24	100.0	2.24	配当あり	いいえ	21.46	1.08	2628.5	5200.0	3265.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
6104	芝浦機械	プライム（内国株式）	3600	機械	8	機械	6	TOPIX Small 1	4545.0	3.08	140.0	3.08	140.0	3.08	配当あり	いいえ	104.17	0.91	1074.8	5170.0	3175.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
6113	アマダ	プライム（内国株式）	3600	機械	8	機械	4	TOPIX Mid400	2965.0	2.16	64.0	2.16	64.0	2.16	配当あり	いいえ	30.03	1.72	9207.3	3224.0	1559.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
6118	アイダエンジニアリング	プライム（内国株式）	3600	機械	8	機械	6	TOPIX Small 1	1156.0	3.37	39.0	3.37	39.0	3.37	配当あり	いいえ	14.9	0.72	628.2	1362.0	872.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
6125	岡本工作機械製作所	スタンダード（内国株式）	3600	機械	8	機械	-	-	5630.0	2.84	160.0	2.84	160.0	2.84	配当あり	いいえ	30.12	0.87	372.1	5920.0	3690.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
