コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
7981	タカラスタンダード	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	3100.0	4.0	124.0	4.0	124.0	4.0	配当あり	いいえ	13.37	1.0	1960.2	3265.0	2380.0	Consumer Cyclical	なし			高			OK	OK	OK	通常掲載可	OK	OK
7983	ミロク	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1055.0	0.95	10.0	0.95	10.0	0.95	配当あり	いいえ		0.27	31.0	1580.0	1031.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
7984	コクヨ	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	4	TOPIX Mid400	835.1	2.93	24.5	2.93	24.5	2.93	配当あり	いいえ	17.3	1.4	3546.6	975.0	766.4	Industrials	あり	自社グループ商品: 500株以上 | 【半年以上保有】 4,000円相当 | ◇自社グループ商品、または寄付を選択。 1、自社グループ商品 2、マテリアリティ「社内外の Well-being の向上」への寄付 3、マテリアリティ「WORK & LIFE の基盤である地球を守るための活動」への寄付 ※2,000株以上は継続保有期間の制限なし。 ■継続保有期間について 判定は、基準日（6 月末日又は 12 月末日）から過去に遡って行います。基準日（6 月末日又は 12 月末日）における当社株主名簿に当社普通株式 500 株以上の保有記録が同一の株主番号で連続して 2 回以上記録されていることを指し	500	高			OK	OK	OK	通常掲載可	OK	OK
7985	ネポン	スタンダード（内国株式）	3550	金属製品	3	建設・資材	-	-	716.0	1.26	9.0	1.06	9.0	1.26	配当あり	いいえ		0.28	6.9	2179.0	716.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
7986	日本アイ・エス・ケイ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	-	-	1777.0	1.69	30.0	1.69	30.0	1.69	配当あり	いいえ	6.54	0.57	27.3	2069.0	1613.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
7987	ナカバヤシ	スタンダード（内国株式）	3800	その他製品	10	情報通信・サービスその他	7	TOPIX Small 2	557.0	3.95	22.0	3.95	22.0	3.95	配当あり	いいえ	7.87	0.49	151.1	643.0	510.0	Industrials	あり	自社グループ製品: 100株以上 | 自社製品または寄付（300円相当） / 500株以上 | 自社グループ製品（選択式） 1,000円相当 / 1,500株以上 | ◆以下優待内容詳細 1、自社グループ製品（選択式） 2、自社グループ製品 10,000円相当 / 2,500株以上 | ◆以下優待内容詳細 1、自社グループ製品（選択式） 2、自社グループ製品 15,000円相当 / 5,000株以上 | ◆以下優待内容詳細 1、自社グループ製品（選択式） 2、自社グループ製品 20,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
7988	ニフコ	プライム（内国株式）	3200	化学	4	素材・化学	4	TOPIX Mid400	4789.0	1.75	84.0	1.75	84.0	1.75	配当あり	いいえ	13.25	1.5	4459.8	5562.0	3352.0	Consumer Cyclical	なし			高			OK	OK	OK	通常掲載可	OK	OK
7989	立川ブラインド工業	プライム（内国株式）	3550	金属製品	3	建設・資材	7	TOPIX Small 2	2542.0	5.51	140.0	5.51	140.0	5.51	配当あり	いいえ	15.77	0.9	511.0	2674.0	1608.0	Consumer Cyclical	あり	オリジナルQUOカード: 100株以上 | 【3年未満保有株主】 500円相当 【3年以上保有株主】 1,000円相当 | ■贈呈時期 毎年3月の事業報告書に同封。 / 300株以上 | 【3年未満保有株主】 1,500円相当 【3年以上保有株主】 2,000円相当 / 500株以上 | 【3年未満保有株主】 3,000円相当 【3年以上保有株主】 4,000円相当 / 1,000株以上 | 【3年未満保有株主】 4,000円相当 【3年以上保有株主】 5,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
7990	グローブライド	プライム（内国株式）	3800	その他製品	10	情報通信・サービスその他	6	TOPIX Small 1	2315.0	4.32	100.0	4.32	100.0	4.32	配当あり	いいえ	9.64	0.78	494.1	2657.0	2027.0	Consumer Cyclical	あり	オリジナルQUOカード: 100株以上 | 【3年未満保有株主】 1,000円相当 【3年以上保有株主】 2,000円相当 | ※写真は2025年版です。 ■継続保有期間について 3年以上の株主様とは、3年間（3月31日及び9月30日現在の株主名簿に7回以上）、継続して同一株主番号で記載された1単元（100株）以上保有の株主様のことをいいます。 ■贈呈時期 毎年6月上旬 / 1,000株以上 | 【3年未満保有株主】 2,000円相当 【3年以上保有株主】 3,000円相当 / 2,000株以上 | 【3年未満保有株主】 3,000円相当 【3年以上保有株主】 5,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
7991	マミヤ・オーピー	スタンダード（内国株式）	3600	機械	8	機械	-	-	1015.0	4.93	50.0	4.93	50.0	4.93	配当あり	いいえ	6.16	0.4	104.8	1975.0	1012.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
