コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
4971	メック	プライム（内国株式）	3200	化学	4	素材・化学	6	TOPIX Small 1	10410.0	1.06	110.0	0.97	110.0	1.06	配当あり	いいえ	38.23	13.68	1900.9	12230.0	2620.0	Basic Materials	あり	QUOカード: 100株以上 | 【1年以上保有】 1,000円相当 【3年以上保有】 2,000円相当 | ■継続保有期間について 基準日である12月末および６月末時点の株主名簿において、同一の株主番号で所定の回数以上連続して各最低株数以上の保有が記載または記録されていることをいいます。 1年以上継続保有：連続して3回以上 3年以上継続保有：連続して7回以上 ■贈呈時期 定時株主総会終了後に郵送される決議通知に同封。 / 500株以上 | 【1年以上保有】 2,000円相当 【3年以上保有】 3,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
4972	綜研化学	スタンダード（内国株式）	3200	化学	4	素材・化学	-	-	3205.0	4.68	150.0	4.54	150.0	4.68	配当あり	いいえ	13.14	1.28	531.9	3645.0	1465.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4973	日本高純度化学	プライム（内国株式）	3200	化学	4	素材・化学	7	TOPIX Small 2	5640.0	4.08	230.0	3.95	230.0	4.08	配当あり	いいえ	18.25	1.81	327.3	6850.0	2981.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4974	タカラバイオ	プライム（内国株式）	3200	化学	4	素材・化学	-	-							配当未取得								なし			高	yfinanceデータなし / 株価未取得 / 配当未取得	1株配当が取得できていない / yfinanceで株価・配当データが取得できなかった / 株価が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	データなし	OK
4975	ＪＣＵ	プライム（内国株式）	3200	化学	4	素材・化学	6	TOPIX Small 1	7910.0	2.28	180.0	2.25	180.0	2.28	配当あり	いいえ	21.64	3.57	1947.4	8090.0	3140.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4976	東洋ドライルーブ	スタンダード（内国株式）	3200	化学	4	素材・化学	-	-	1280.0	2.61	33.4	2.6	33.4	2.61	配当あり	いいえ	8.05	0.47	50.8	1640.0	1255.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4977	新田ゼラチン	スタンダード（内国株式）	3200	化学	4	素材・化学	-	-	1305.0	3.07	40.0	3.06	40.0	3.07	配当あり	いいえ	7.24	0.98	237.7	1487.0	847.0	Basic Materials	あり	自社商品（健康食品等）: 100株以上 | 【3年未満保有株主】 3,000円相当 【3年以上保有株主】 3,500円相当 | ※2026年3月：コラーゲンペプチド製品（コラゲネイド等） ■継続保有期間について 3年以上保有する株主様とは、株主優待を発送する年の3月31日を基準として遡り、毎年3月31日、6月30日、9月30日、12月31日の当社の株主名簿に同一株主番号で連続して13回以上記載または記録され、かつ1単元（100株）または5単元（500株）以上を毎回保有する株主様といたします。 ■贈呈時期 毎年7月中 / 500株以上 | 【3年未満保有株主】 6,500円相当 【3年以上保有株	100	高			OK	OK	OK	通常掲載可	OK	OK
4978	リプロセル	グロース（内国株式）	3200	化学	4	素材・化学	-	-	127.0						配当未取得			1.36	120.7	242.0	117.0	Healthcare	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
4979	ＯＡＴアグリオ	スタンダード（内国株式）	3200	化学	4	素材・化学	7	TOPIX Small 2	2627.0	2.28	60.0	2.31	60.0	2.28	配当あり	いいえ	11.4	1.34	265.0	3350.0	1930.0	Basic Materials	あり	自社グループ製品、QUOカード: 100株以上 | ◇以下から1品を選択。 1、グループ商品（2,500円相当） 2、フラワーギフト券（2,000円相当） 3、リンゴジュース2本セット 4、オレンジジュース（紅まどんな）1本 5、夕張メロンピュアゼリー（６個入） 6、くまもとのデコポンゼリー（６個入） | ■贈呈時期 ※商品：4月下旬予定 フラワーギフト券：5月中旬	100	高			OK	OK	OK	通常掲載可	OK	OK
4980	デクセリアルズ	プライム（内国株式）	3200	化学	4	素材・化学	4	TOPIX Mid400	4407.0	1.45	64.0	1.27	64.0	1.45	配当あり	いいえ	27.51	6.75	7382.2	5228.0	1903.0	Technology	なし			高			OK	OK	OK	通常掲載可	OK	OK
4985	アース製薬	プライム（内国株式）	3200	化学	4	素材・化学	6	TOPIX Small 1	4770.0	2.73	130.0	2.77	130.0	2.73	配当あり	いいえ	19.86	1.36	1042.1	5570.0	4475.0	Consumer Defensive	あり	自社製品詰合せ: 100株以上 | 【1年以上保有】 2,500円相当 【3年以上保有】 3,500円相当 | ■継続保有期間について 「（100株以上1,000株未満の保有期間が）継続3年以上」とは、株主名簿の基準日 （6月30日および12月31日）の株主名簿に100株以上の保有記録が同一株主番号で7回以上連続している場合をいいます。 1年以上継続保有：連続して3回以上 ■贈呈時期 確定日6月末：9月予定 確定日12月末：翌年3月予定 / 1,000株以上 | 【1年以上保有】 3,500円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
4990	昭和化学工業	スタンダード（内国株式）	3200	化学	4	素材・化学	-	-	495.0	1.21	6.0	1.2	6.0	1.21	配当あり	いいえ	8.44	0.56	52.7	590.0	452.0	Basic Materials	あり	地域の特産品、東北地方ブランド米: 1,000株以上 | 2,500～3,000円相当 | ※2023年3月 山形県鶴岡市の特産品：鶴岡ギフト詰め合わせ ・ピノ・コッリーナ「ワインジャム いちご」 ・フリーズドライ 「殿様のだだちゃ豆」 ・だだちゃ豆ごはんの素 ・庄内米つや姫２合 ・鶴岡産100％りんごジュース ※発送時期：6月下旬	1000	高			OK	OK	OK	通常掲載可	OK	OK
4992	北興化学工業	スタンダード（内国株式）	3200	化学	4	素材・化学	7	TOPIX Small 2	2208.0	2.45	54.0	2.41	54.0	2.45	配当あり	いいえ	12.99	1.02	572.8	2288.0	1331.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4994	大成ラミックグループ	スタンダード（内国株式）	3200	化学	4	素材・化学	7	TOPIX Small 2	2381.0	2.94	70.0	2.95	70.0	2.94	配当あり	いいえ	9.49	0.56	144.5	2829.0	2135.0	Consumer Cyclical	あり	自社関連製品: 100株以上 | 5,000円相当 | ※1年以上の保有が条件。 ■継続保有期間について ３月末日および９月末日現在の株主名簿にて、同一株主番号で、かつ１年を超えて継続して単元株以上の保有が確認できた株主様を対象としております。	100	高			OK	OK	OK	通常掲載可	OK	OK
4996	クミアイ化学工業	プライム（内国株式）	3200	化学	4	素材・化学	6	TOPIX Small 1	743.0	3.23	24.0	3.27	24.0	3.23	配当あり	いいえ	13.06	0.58	895.1	871.0	665.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4997	日本農薬	プライム（内国株式）	3200	化学	4	素材・化学	7	TOPIX Small 2	1022.0	4.7	48.0	4.71	48.0	4.7	配当あり	いいえ	11.07	1.43	800.5	1103.0	806.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
4998	フマキラー	スタンダード（内国株式）	3200	化学	4	素材・化学	-	-	1158.0	2.07	24.0	2.09	24.0	2.07	配当あり	いいえ	9.32	0.71	190.8	1261.0	1085.0	Basic Materials	あり	自社製品詰合せ: 100株以上 | 1,000円相当 / 500株以上 | 3,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
500A	ＴＯブックス	スタンダード（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	2779.0	2.73	76.0	2.71	76.0	2.73	配当あり	いいえ	7.36	1.31	96.9	3880.0	2756.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
5010	日本精蝋	スタンダード（内国株式）	3300	石油・石炭製品	2	エネルギー資源	-	-	228.0						配当未取得		8.15	0.67	45.0	337.0	180.0	Energy	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
5011	ニチレキグループ	プライム（内国株式）	3300	石油・石炭製品	2	エネルギー資源	7	TOPIX Small 2	2112.0	4.26	90.0	4.23	90.0	4.26	配当あり	いいえ	14.0	0.75	601.0	3150.0	1934.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
5013	ユシロ	スタンダード（内国株式）	3300	石油・石炭製品	2	エネルギー資源	7	TOPIX Small 2	2870.0	4.25	122.0	4.21	122.0	4.25	配当あり	いいえ	7.93	0.78	372.1	3585.0	1916.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
