コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
7034	プロレド・パートナーズ	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	333.0						配当未取得		13.66	0.6	36.4	805.0	320.0	Industrials	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
7035	ａｎｄ　ｆａｃｔｏｒｙ	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	231.0						配当未取得			3.21	26.0	440.0	201.0	Technology	あり	プレミアム優待倶楽部ポイント: 1,000株以上 | 5,000ポイント | 株主限定の特設インターネット・サイト（and factory プレミアム優待倶楽部）で、ポイントと食品、電化製品、ギフト、旅行・体験等に交換できる。 ※ポイントの繰越は不可。 ※1ポイント≒1円相当。 ※プレミアム優待倶楽部では、株主優待ポイントを共通株主優待コイン「WILLsCoin」と交換することができる。WILLsCoinは個人株主向け会員制サイト「プレミアム優待倶楽部PORTAL」にて優待商品と交換することができる。 ※優待ポイントとWILLsCoinとの交換には、本優待制度開始を起算日とし同一株主番号での保	1000	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
7036	イーエムネットジャパン	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	608.0	5.59	34.0	5.59	34.0	5.59	配当あり	いいえ		3.03	23.5	1270.0	585.0	Communication Services	なし			高			OK	OK	OK	通常掲載可	OK	OK
7037	テノ．ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	865.0	2.31	20.0	2.31	20.0	2.31	配当あり	いいえ	35.97	2.12	39.5	1311.0	474.0	Healthcare	あり	デジタルギフト: 600株以上 | 【半年以上保有】 15,000円相当（年間　30,000円相当） | ■継続保有期間について 継続保有期間半年以上とは、基準日（毎年６月末及び12月末）時点において、当社の株主名簿に同一の株主番号の株主として連続２回以上記載または記録され、かつ同期間の保有株式数が継続して所定の株式数以上であることを条件とします。 ■進呈時期 権利確定日から3カ月以内	600	高			OK	OK	OK	通常掲載可	OK	OK
7038	フロンティア・マネジメント	プライム（内国株式）	9050	サービス業	10	情報通信・サービスその他	7	TOPIX Small 2	600.0						配当未取得			4.25	70.5	744.0	526.0	Industrials	あり	プレミアム優待倶楽部ポイント: 100株以上 | 【3年未満保有】 1,000ポイント 【3年以上保有】 1,100ポイント | ※6月及び12月それぞれの基準日に株主優待ポイントを付与。株主限定の特設インターネットサイトにおいて、その株主の保有するポイント数に応じて、お米やブランド牛などのこだわりグルメ、スイーツや飲食類、銘酒、家電製品、選べる体験ギフトなどと交換できる。 ※1ポイント≒1円相当。 ※ポイントは最大3回まで繰越すことができる。 ■継続保有期間について 「3年以上継続保有」の判定は、毎年6月末日、12月末日の株主名簿に同一株主番号で連続して7回以上記載されることが条件となります	100	高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
7039	ブリッジインターナショナルグループ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1688.0	5.63	95.0	5.63	95.0	5.63	配当あり	いいえ	11.31	1.35	59.8	2125.0	1586.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
7040	サン・ライフホールディング	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	973.0	3.49	34.0	3.49	34.0	3.49	配当あり	いいえ	9.62	0.86	59.6	1297.0	901.0	Consumer Cyclical	あり	施設優待券、スパークリングワイン: 100株以上 | グループ施設利用券（1,000円相当）3枚 またはスパークリングワイン引換券 1枚 / 1,000株以上 | ・グループ施設利用券（1,000円相当）30枚 ・スパークリングワイン引換券 1枚	100	高			OK	OK	OK	通常掲載可	OK	OK
7041	ＣＲＧホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	257.0	3.5	9.0	3.5	9.0	3.5	配当あり	いいえ	37.03	0.49	14.3	398.0	240.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
7042	アクセスグループ・ホールディングス	スタンダード（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	625.0	3.52	22.0	3.52	22.0	3.52	配当あり	いいえ	12.49	1.4	21.5	950.0	517.0	Consumer Cyclical	あり	プレミアム優待倶楽部ポイント: 400株以上 | 【初年度付与】 3,000ポイント 【2年目以降付与】 3,000ポイント | ※ポイント数に応じて、お米やブランド牛などのこだわりグルメ、スイーツや飲料類、銘酒、家電製品、選べる体験ギフトなど、5,000点以上の株主優待品の中から交換や、公益法人等の社会貢献活動への寄付も可能。 ※ポイントは、次年度へ繰り越すことが出来ます（１回のみ繰り越しが可能）。 ※1ポイント≒1円相当。 ※プレミアム優待倶楽部では、株主優待ポイントを共通株主優待コイン「WILLsCoin」と交換することができる。WILLsCoinは個人株主向け会員制サイト「プレミアム優	400	高			OK	OK	OK	通常掲載可	OK	OK
7043	アルー	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	927.0	1.19	11.0	1.19	11.0	1.19	配当あり	いいえ	9.85	1.81	23.6	1238.0	759.0	Industrials	なし			高			OK	OK	OK	通常掲載可	OK	OK
