コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	優待有無	優待内容	優待最低株数	優待判定信頼度	注意フラグ	要確認理由	配当ランキング利用可否	優待ランキング利用可否	総合ランキング利用可否	記事掲載区分	yfinance状態	みんかぶ状態
1301	極洋	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4385.0	3.65	160.0	3.67	160.0	3.65	配当あり	いいえ	7.61	0.67	520.8	5450.0	4165.0	Consumer Defensive	あり	自社製品: 100株以上 | 2,500円相当 | ■贈呈時期 毎年7月予定 / 300株以上 | 6,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
130A	Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ	グロース（内国株式）	3250	医薬品	5	医薬品	-	-	430.0						配当未取得			1.56	27.9	940.0	390.0	Healthcare	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
1332	ニッスイ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1287.0	2.49	32.0	2.52	32.0	2.49	配当あり	いいえ	14.28	1.3	3903.1	1570.0	857.7	Consumer Defensive	あり	自社商品: 500株以上 | 3,000円相当 | ■贈呈時期 7月 / 1,000株以上 | 5,000円相当	500	高			OK	OK	OK	通常掲載可	OK	OK
1333	Ｕｍｉｏｓ	プライム（内国株式）	50	水産・農林業	1	食品	4	TOPIX Mid400	1299.5	3.54	46.0	3.58	46.0	3.54	配当あり	いいえ	8.85	0.79	1964.6	1589.0	997.0	Consumer Defensive	あり	新社名記念優待: 100株以上 | Umios オリジナルギフトカード 500円相当 | ※「株主優待の内容」は 2026 年３月期に関する内容。優待品の詳細は変更が生じる可能性があります。 ■案内予定時期：2026 年６月上旬に発送予定の「定時株主総会招集ご通知」に同封。 / 500株以上 | 自社商品　3,000円相当 / 1,000株以上 | 自社商品　5,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
135A	ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	3985.0						配当未取得		63.13	27.61	408.7	4790.0	1910.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
1375	ユキグニファクトリー	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1115.0	1.79	20.0	1.81	20.0	1.79	配当あり	いいえ	15.03	3.01	444.7	1149.0	1000.0	Consumer Defensive	あり	自社商品: 100株以上 | 【6カ月以上保有株主】 3,000円相当 | ◇「キノコのお肉」等 ■継続保有期間について 毎年3月末日の株主名簿に記載された1単元（100株）以上保有かつ6か月以上継続保有（割当基準日である3月末日とその前年の9月末日に1単元（100株）以上を保有し、同じ株主番号にて連続して株主名簿に記載された状態をいう。）の株主様を対象といたします。 ■贈呈時期 毎年6～7月頃 / 300株以上 | 【6カ月以上保有株主】 5,000円相当 / 1,000株以上 | 【6カ月以上保有株主】 7,000円相当	100	高			OK	OK	OK	通常掲載可	OK	OK
1376	カネコ種苗	スタンダード（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1453.0	3.3	48.0	3.32	48.0	3.3	配当あり	いいえ	12.51	0.62	159.3	1859.0	1350.0	Basic Materials	なし			高			OK	OK	OK	通常掲載可	OK	OK
1377	サカタのタネ	プライム（内国株式）	50	水産・農林業	1	食品	6	TOPIX Small 1	4185.0	1.91	80.0	1.93	80.0	1.91	配当あり	いいえ	15.66	1.02	1768.6	4630.0	3310.0	Consumer Defensive	あり	カタログギフト: 100株以上 | 【1年以上保有】 （Aコース）1,500円相当 【5年以上保有】 （Bコース）3,000円相当 | ※保有期間、保有株式数に応じて商品カタログの各コースから商品1点を選択。 ■継続保有期間について ・1年以上保有 株主名簿に同一株主番号で初めて登録されてからの期間が、権利確定日5月末日時点で1年以上であること。 ・5年以上保有 株主名簿に同一株主番号で初めて登録されてからの期間が、権利確定日5月末日時点で5年以上であること。 ■カタログ発送の時期 毎年8月下旬頃 / 300株以上 | 【1年以上保有】 （Bコース）3,000円相当 【5年以上保有】 （Cコー	100	高			OK	OK	OK	通常掲載可	OK	OK
1379	ホクト	プライム（内国株式）	50	水産・農林業	1	食品	7	TOPIX Small 2	1837.0	3.38	62.0	3.35	62.0	3.38	配当あり	いいえ	9.58	0.89	575.8	2123.0	1779.0	Consumer Defensive	あり	自社グループ製品詰合せ、ギフトカード: 100株以上 | ■以下より1点を選択 1、健康セット（アガリクスドリンク等詰合せ）4,000円相当 2、レトルトセット（レトルトカレー、炊き込みご飯の素等詰合せ）1,800円相当 3、きのこ・レトルトセット（きのこ2種類、レトルトカレー等詰合せ）1,400円相当 | ※優待製品は都合により変更する場合がある。 ■贈呈時期 毎年、10下旬～11月の予定	100	高			OK	OK	OK	通常掲載可	OK	OK
137A	Ｃｏｃｏｌｉｖｅ	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	742.0						配当未取得		12.07	6.06	22.4	1585.0	549.0	Technology	なし			高	配当未取得	1株配当が取得できていない	除外推奨	OK	除外推奨	掲載非推奨	OK_配当データ要確認	OK
