コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1407	ウエストホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2406.0	2.91	70.0	2.94	70.0	2.91	配当あり	いいえ	18.46	2.78	954.2	3270.0	1294.0	Utilities			OK	通常掲載可	OK	47250.0	18.3	-6.23	24.38	2.6	182.0	130.35	53.7	16.05	0
1414	ショーボンドホールディングス	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1238.0	3.68	45.5	3.64	45.5	3.68	配当あり	いいえ	17.18	2.4	2487.9	1537.0	1152.25	Industrials			OK	通常掲載可	OK	90712.0	22.92	6.2	81.38		8616.0	72.07	63.13	14.64	17
1417	ミライト・ワン	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	3822.0	2.62	100.0	2.59	100.0	2.62	配当あり	いいえ	14.61	1.21	3375.0	4351.0	2485.5	Industrials			OK	通常掲載可	OK	602377.0	5.69	4.11	48.73	0.48	13019.0	261.69	38.21	8.61	2
1418	インターライフホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	525.0	5.71	30.0	5.69	30.0	5.71	配当あり	いいえ	9.79	1.71	80.1	729.0	375.0	Industrials			OK	通常掲載可	OK	16336.3	7.14	-3.57	50.45	0.31	2188.3	53.6	55.97	18.63	3
1419	タマホーム	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	2903.0	4.31	125.0	4.13	125.0	4.31	配当あり	いいえ	34.71	3.26	841.5	4125.0	2701.0	Consumer Cyclical			OK	通常掲載可	OK	200817.0	2.05	-18.94	37.1	0.56	512.0	83.63	149.47	10.21	4
141A	トライアルホールディングス	グロース（内国株式）	6100	小売業	14	小売	-	-	2889.0	0.55	16.0	0.53	16.0	0.55	配当あり	いいえ	36.71	2.71	3543.1	4840.0	1996.0	Consumer Defensive			OK	通常掲載可	OK	803829.0	2.63	11.96	42.0	0.31	-39951.0	78.69	20.33	7.55	1
1420	サンヨーホームズ	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	635.0	3.94	25.0	3.94	25.0	3.94	配当あり	いいえ	5.18	0.45	78.8	741.0	602.0	Consumer Cyclical			OK	通常掲載可	OK	50502.6	4.32	10.95	35.59	1.15	-1618.8	122.62	20.39	8.67	0
1429	日本アクア	プライム（内国株式）	2050	建設業	3	建設・資材	-	-	732.0	4.78	35.0	4.71	35.0	4.78	配当あり	いいえ	12.31	2.17	235.6	955.0	678.0	Industrials			OK	通常掲載可	OK	33670.8	8.24	11.25	45.07	0.41	1006.7	59.44	58.88	18.18	5
142A	ジンジブ	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	729.0						配当未取得		11.6	3.68	21.2	1083.0	513.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2688.0	6.18	11.99	25.07	0.73	212.8	62.84		37.72	
1430	ファーストコーポレーション	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	930.0	4.95	46.0	4.89	46.0	4.95	配当あり	いいえ	8.82	1.09	111.5	1151.0	844.0	Consumer Cyclical			OK	通常掲載可	OK	43194.3	5.97	51.64	39.22	0.48	2050.0	105.47	43.61	15.01	1
1431	Ｌｉｂ　Ｗｏｒｋ	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	637.0	1.0	6.4	1.0	6.4	1.0	配当あり	いいえ	65.13	3.41	148.2	838.0	625.0	Real Estate			OK	通常掲載可	OK	16004.7	5.21	3.69	40.91	0.81	936.7	9.78	65.44	4.61	0
1433	ベステラ	プライム（内国株式）	2050	建設業	3	建設・資材	-	-	1122.0	3.57	40.0	3.55	40.0	3.57	配当あり	いいえ	13.79	1.85	99.4	1355.0	1003.0	Industrials			OK	通常掲載可	OK	11140.4	6.65	2.23	64.77	0.11	1636.0	81.37	49.16	12.05	1
1434	ＪＥＳＣＯホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1801.0	2.67	48.0	2.68	48.0	2.67	配当あり	いいえ	8.19	1.55	125.3	2624.0	903.0	Industrials			OK	通常掲載可	OK	19067.6	9.03	28.8	42.36	0.74	896.3	219.92	21.83	20.26	1
1435	ｒｏｂｏｔ　ｈｏｍｅ	スタンダード（内国株式）	8050	不動産業	17	不動産	7	TOPIX Small 2	160.0	1.25	2.0	1.25	2.0	1.25	配当あり	いいえ	7.23	1.3	142.2	277.0	145.0	Real Estate			OK	通常掲載可	OK	24068.2	7.34	82.92	70.1	0.12	1035.3	22.13	9.04	18.38	0
1436	グリーンエナジー＆カンパニー	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	1404.0	1.5	21.0	1.48	21.0	1.5	配当あり	いいえ	36.21	3.14	173.6	2184.0	693.0	Industrials			OK	通常掲載可	OK	11616.6	4.68	20.06	39.04	1.09	-1110.9	38.77	54.17	9.19	1
1438	岐阜造園	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1890.0	2.12	40.0	2.12	40.0	2.12	配当あり	いいえ	12.28	1.36	61.3	2030.0	1758.0	Industrials			OK	通常掲載可	OK	6271.4	8.58	20.63	71.75	0.06	286.9	153.85	26.0	11.79	3
143A	イシン	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	733.0						配当未取得		304.15	1.16	14.2	1189.0	621.0	Communication Services	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	1428.9	3.5	2.54	57.69		-127.0	2.41		-1.74	
1443	技研ホールディングス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	249.0	0.44	1.1	0.45	1.1	0.44	配当あり	いいえ	6.59	0.31	40.4	375.0	190.0	Industrials			OK	通常掲載可	OK	4675.1	15.01	-4.71	70.71	0.22	928.8	37.79	2.91	5.14	1
1444	ニッソウ	グロース（内国株式）	2050	建設業	3	建設・資材	-	-	2852.0						配当未取得			1.88	31.0	3005.0	2520.0	Consumer Cyclical	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	4679.0	1.21	12.3	54.24	0.52	-79.3	-40.2		-4.19	
1446	キャンディル	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	528.0	1.89	10.0	1.9	10.0	1.89	配当あり	いいえ	19.12	1.56	49.1	598.0	516.0	Industrials			OK	通常掲載可	OK	13860.6	3.03	4.81	47.15	0.41	358.9	27.61	36.22	8.43	0
