コード	銘柄名	市場・商品区分	33業種コード	33業種区分	17業種コード	17業種区分	規模コード	規模区分	株価	配当利回り(%)	1株配当(円)	配当利回り_raw	1株配当_raw	配当利回り_自前計算	配当状態	配当フォールバック使用	PER	PBR	時価総額(億円)	52週高値	52週安値	セクター	注意フラグ	要確認理由	配当ランキング利用可否	記事掲載区分	yfinance状態	売上高_直近期(百万円)	営業利益率(%)	売上成長率_YoY(%)	自己資本比率(%)	DEレシオ	FCF(百万円)	EPS(円)	配当性向(%)	ROE(%)	連続増配(年)
1848	富士ピー・エス	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	648.0	3.86	25.0	3.86	25.0	3.86	配当あり	いいえ	11.52	0.87	114.5	854.0	490.0	Industrials			OK	通常掲載可	OK	32230.0	4.93	-4.56	36.9	0.8	-598.0	56.25	44.44	7.8	2
184A	学びエイド	グロース（内国株式）	5250	情報・通信業	10	情報通信・サービスその他	-	-	310.0						配当未取得			2.84	10.6	713.0	298.0	Consumer Defensive	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	289.9	-102.47	-53.89	61.65	0.28	-231.5	-54.81		74.96	
1850	南海辰村建設	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	424.0	1.89	8.0	1.89	8.0	1.89	配当あり	いいえ	5.84	0.62	118.8	652.0	312.0	Industrials			OK	通常掲載可	OK	45796.0	6.21	-13.5	56.16	0.04	8403.0	72.63	11.01	11.32	2
1852	淺沼組	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	864.0	6.48	56.0	6.48	56.0	6.48	配当あり	いいえ	13.46	1.4	697.5	1233.0	746.0	Industrials			OK	通常掲載可	OK	175294.0	4.11	4.96	42.1	0.29	17787.0	64.2	87.23	10.81	0
1853	森組	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	324.0	4.32	14.0	4.32	14.0	4.32	配当あり	いいえ	11.45	3.62	106.1	352.0	301.0	Industrials			OK	通常掲載可	OK	28039.0	4.81	-4.8	61.49	0.0	2332.0	28.29	49.49	17.45	0
1860	戸田建設	プライム（内国株式）	2050	建設業	3	建設・資材	4	TOPIX Mid400	1616.0	3.71	60.0	3.71	60.0	3.71	配当あり	いいえ	13.11	1.22	4784.0	1665.0	931.7	Industrials			OK	通常掲載可	OK	645736.0	5.92	10.07	39.14	0.59	33211.0	123.3	48.66	9.92	2
1861	熊谷組	プライム（内国株式）	2050	建設業	3	建設・資材	6	TOPIX Small 1	1445.0	3.46	50.0	3.46	50.0	3.46	配当あり	いいえ	12.36	1.31	2455.3	2043.0	1050.0	Industrials			OK	通常掲載可	OK	487698.0	5.56	-2.18	41.85	0.26	20333.0	116.9	42.77	10.85	1
1866	北野建設	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	1134.0	5.29	60.0	5.29	60.0	5.29	配当あり	いいえ	7.91	0.53	275.8	1714.0	925.0	Industrials			OK	通常掲載可	OK	78791.0	5.89	-2.55	64.2	0.0	-5442.0	143.45	41.83	7.04	0
1867	植木組	スタンダード（内国株式）	2050	建設業	3	建設・資材	-	-	2585.0	4.26	110.0	4.26	110.0	4.26	配当あり	いいえ	7.06	0.54	170.0	3275.0	1989.0	Industrials			OK	通常掲載可	OK	63290.0	5.88	24.82	56.33	0.22	-5202.8	366.29	30.03	7.97	2
186A	アストロスケールホールディングス	グロース（内国株式）	9050	サービス業	10	情報通信・サービスその他	-	-	1218.0						配当未取得			20.5	1685.6	3015.0	575.0	Industrials	配当未取得	1株配当が取得できていない	除外推奨	掲載非推奨	OK_配当データ要確認	2457.0	-763.34	-13.87	18.22	2.27	-12947.5	-49.82		-94.32	
